unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
ID0,2014-12-29 12:00:00,12.0,-9.79933,-15.979136,-27.571426,33.799328,39.979137,51.571426,15.320675,7.1874027,9.3207855,10.673302,20.972004,23.459385,31.553417,15.00094,8.618183,10.720012,11.942698,18.75631,21.590479,38.547775,13.587014,8.315152,10.550021,11.290391,16.241188,17.629831,20.424587,15.374746,6.054302,9.151541,9.98369,26.898296,32.27718,42.446533,9.0
ID0,2014-12-29 13:00:00,12.0,-9.79933,-15.979136,-27.571426,33.799328,39.979137,51.571426,15.106919,5.4335327,9.898147,10.756443,21.566444,24.664442,35.138103,15.199608,9.655493,11.119764,11.589082,18.466547,21.35555,41.39782,13.554714,7.631315,9.662929,10.572676,16.522318,18.05732,21.680004,15.863402,5.35668,8.987203,9.6044855,29.34754,35.41962,46.658813,7.0
ID0,2014-12-29 14:00:00,16.0,-5.7993293,-11.979136,-23.571426,37.799328,43.979137,55.571426,14.888361,5.047718,8.989801,10.750425,21.689781,25.723272,33.711666,15.321978,8.820907,10.921856,12.333173,20.089138,22.904078,44.0008,13.629397,6.9240494,9.08963,10.25705,17.143703,18.659897,23.13171,16.800661,6.0858727,9.2019,10.812559,27.343834,31.574005,42.536926,8.0
ID0,2014-12-29 15:00:00,17.0,-4.7993293,-10.979136,-22.571426,38.799328,44.979137,56.571426,15.068936,3.7267075,9.024832,10.493568,23.523357,27.929392,39.832634,15.695579,9.235479,11.6366205,12.310569,20.877733,24.407127,47.817368,13.905953,7.0227146,9.346625,10.427355,17.820757,19.468006,24.23241,17.047966,6.265398,9.433544,11.221953,23.976513,26.480326,33.6764,20.0
ID0,2014-12-29 16:00:00,14.0,-7.7993293,-13.979136,-25.571426,35.799328,41.979137,53.571426,14.692838,4.611061,8.904265,10.096918,23.7525,28.518126,43.53273,14.878961,9.043905,10.524772,11.101912,20.88922,23.526955,46.29487,13.850601,6.6418743,8.711756,9.9867935,18.210085,19.893929,24.90578,16.16802,5.5755024,9.008913,10.579213,27.868176,32.900654,45.33365,16.0
ID0,2014-12-29 17:00:00,10.0,-11.79933,-17.979136,-29.571426,31.79933,37.979137,49.571426,12.972057,3.5822678,8.175181,9.13172,23.527046,31.723843,47.268173,13.540473,7.7248554,10.051257,10.428429,19.987263,25.69492,51.112366,14.237658,6.144205,8.664385,9.660331,18.85193,20.895388,26.83509,15.439432,5.1557636,8.276614,9.952482,26.502153,31.088615,43.296257,11.0
ID0,2014-12-29 18:00:00,12.0,-9.79933,-15.979136,-27.571426,33.799328,39.979137,51.571426,13.744774,3.487671,8.220754,9.889514,29.815998,37.953773,52.82414,13.600941,7.517991,10.229406,10.763954,22.588734,29.533987,60.267895,14.610276,6.5925198,9.141061,10.276346,18.91159,21.101263,26.191282,15.003466,5.3164597,9.288358,10.911483,30.31237,37.34576,54.67881,12.0
ID0,2014-12-29 19:00:00,12.0,-9.79933,-15.979136,-27.571426,33.799328,39.979137,51.571426,14.676508,3.2610855,8.48536,10.023176,37.456066,44.92025,60.590992,14.876383,7.9853773,11.4507,11.913224,30.000154,37.65178,65.69653,14.976546,6.412119,8.767583,10.240984,19.917484,22.023922,28.933155,15.7135515,5.028366,8.571052,10.2469,23.36316,26.234058,33.827515,13.0
ID0,2014-12-29 20:00:00,15.0,-6.7993293,-12.979136,-24.571426,36.799328,42.979137,54.571426,15.445269,4.4047394,9.209074,10.318023,42.686913,50.970478,70.4113,15.457298,9.126808,11.672187,12.646972,34.9993,45.89041,76.46599,15.822158,6.4673996,8.897493,10.338196,21.181253,24.098898,31.627232,15.9177475,6.429081,9.371637,10.959321,23.434944,26.760975,35.30326,12.0
ID0,2014-12-29 21:00:00,12.0,-9.79933,-15.979136,-27.571426,33.799328,39.979137,51.571426,13.9772005,2.5193806,7.8842697,9.069912,43.59234,52.98748,72.08688,14.739648,8.565941,11.264921,12.949648,35.532047,46.807655,80.50635,15.884028,6.7189217,9.3156805,10.69398,21.237848,23.945183,31.196798,16.321903,5.720869,9.063317,10.704734,25.69741,29.461266,38.9094,14.0
