unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
ID0,2014-08-10,4582.0,-1441.121,-3148.592,-6351.524,10605.121,12312.592,15515.523,8711.406,8770.113,2336.0762,4032.271,4944.525,12254.36,13478.878,15172.832,8885.699,6885.5093,8187.5923,8222.467,2890.5984,4336.0586,5197.4854,10937.635,11787.684,13323.192,8196.46,6192.3022,3676.8389,3699.578,896.1987,1692.2617,2089.5645,5182.3135,5703.532,6722.8174,3682.6282,5122.175,4791.5674,4606.6133,-15892.67,-9903.63,-6924.3174,17005.477,19270.324,25245.803,4615.8486,12812.296,5131.91,4857.447,-7511.258,-4622.0938,-2225.1,13207.212,14289.689,23580.172,10975.0
ID0,2014-08-17,10449.0,4425.879,2718.408,-484.52383,16472.121,18179.592,21382.523,8247.779,8272.746,647.603,2971.026,4153.2524,12183.665,13194.618,15335.913,8145.607,7146.58,7358.295,7436.6924,1723.8093,3088.9824,4028.3076,10603.306,11358.727,13140.621,7497.91,6383.163,3570.957,3562.2788,930.0166,1744.4717,2138.5896,4990.703,5432.9355,6061.7734,3568.624,4973.742,3452.4844,3488.978,-4807.4834,-2091.231,-889.396,7883.491,9280.508,11052.342,3383.567,7236.804,4495.966,3211.1016,-5313.958,-1947.1953,-447.2129,12065.971,14513.593,20368.607,10990.0
ID0,2014-08-24,4199.0,-1824.121,-3531.592,-6734.524,10222.121,11929.592,15132.523,9027.553,8973.797,1435.7166,3433.4185,4471.119,13329.869,14862.87,16935.36,8976.654,7321.123,6821.3516,6822.8633,1635.8967,3130.719,3988.4312,9732.584,10435.666,12038.197,6960.94,6105.2227,3499.8555,3529.434,695.32056,1551.3301,2001.9517,4922.2974,5302.8564,6177.5566,3523.7646,5035.9424,3849.1362,3802.1045,-10188.703,-6066.509,-3565.4468,11505.297,14094.396,17789.947,3895.2808,9935.449,2997.5298,2213.9712,-10290.242,-2936.5015,-1429.1953,9683.031,12329.324,17354.14,11456.0
ID0,2014-08-31,7645.0,1621.879,-85.592026,-3288.524,13668.121,15375.592,18578.523,10113.449,10102.174,3801.3857,5640.9604,6638.082,13732.155,14748.393,16573.648,10167.486,6749.711,6850.285,6914.879,1493.7405,3201.6436,4226.287,9495.892,10040.582,11570.58,6819.7183,6015.397,3482.294,3459.4683,1030.2456,1634.7268,2034.5758,4917.9316,5348.64,6109.524,3509.0664,5031.3555,5063.954,5569.5483,-14072.857,-9184.901,-6320.8223,15381.246,18357.246,24443.469,4491.8657,12021.391,3137.9756,2182.1733,-4779.08,-1640.313,-371.65234,8587.848,12134.892,20394.355,10545.0
ID0,2014-09-07,10510.0,4486.879,2779.408,-423.52383,16533.121,18240.592,21443.523,9335.2,9463.459,4458.575,5377.303,6276.015,12206.89,12901.197,14272.522,9284.599,6226.1826,7255.336,7184.7725,1520.9624,3433.2876,4366.525,10292.975,11154.672,12947.318,7173.7646,6233.6045,3273.6433,3297.49,692.20337,1505.6904,1942.4712,4606.1426,5001.743,5818.404,3282.355,4917.364,3990.4377,4423.1753,-18288.902,-11598.022,-7970.1826,15198.16,18801.072,25801.547,3953.104,13501.7705,2555.349,1998.2054,-9203.104,-1954.9585,-329.81738,6780.092,10955.613,16425.363,10813.0
ID0,2014-09-14,10547.0,4523.879,2816.408,-386.52383,16570.121,18277.592,21480.523,9670.344,9731.523,3411.5,5435.6675,6387.5547,12916.707,14259.231,15933.719,9629.048,6628.6426,8004.3853,8080.69,2461.8481,4033.1904,4884.085,11147.215,11827.168,13482.82,7955.84,6507.708,3294.7717,3296.7734,734.27856,1500.4714,1921.8258,4625.7295,5001.7827,5651.7217,3343.3594,4975.112,5040.215,5482.197,-31885.627,-20363.967,-14300.756,24168.957,28752.64,39504.766,4563.058,18804.773,2045.4781,1739.7632,-11198.665,-3525.483,-641.97705,5003.6943,7190.05,22569.492,3610.0
ID0,2014-09-21,10120.0,4096.879,2389.408,-813.5238,16143.121,17850.592,21053.523,9663.248,9640.236,3071.1804,5029.1396,6066.4043,13302.959,14487.206,16095.355,9898.711,6945.267,8141.729,8208.803,2358.4443,4016.2815,4906.9434,11298.82,12144.671,13783.212,7987.439,6406.874,3489.6135,3479.0342,1094.56,1723.2969,2143.7515,4848.0215,5206.698,5957.3794,3456.5452,4973.375,6067.0186,5840.75,-36760.68,-23364.766,-16816.508,29001.318,36700.562,47566.062,5622.5903,23105.295,3100.453,1884.1519,-9879.925,-4836.2754,-301.36768,7163.354,17308.754,31563.559,1328.0
ID0,2014-09-28,11099.0,5075.879,3368.408,165.47617,17122.121,18829.592,22032.523,10086.303,10247.253,3045.7556,4822.452,5785.18,14056.615,15520.119,17819.242,10076.939,7176.3755,7341.575,7320.3115,1784.1138,3210.2236,4290.383,10414.885,11157.318,12556.581,7389.7383,6346.4175,3367.4353,3425.286,1004.72144,1542.5532,1952.6349,4676.483,5098.591,5940.1143,3314.003,4986.1416,5335.9575,4898.669,-34045.117,-22644.46,-17823.238,28233.035,34556.68,47517.305,5670.856,21285.3,4350.749,2072.7402,-3900.309,-1044.7705,-267.22998,6416.3174,20418.512,44190.79,1255.0
ID0,2014-10-05,11474.0,5450.879,3743.408,540.4762,17497.121,19204.592,22407.523,9904.19,10018.465,2827.8877,4856.367,5964.1123,13824.842,15015.049,17465.52,9920.389,7129.4375,6830.4443,6798.616,1051.3569,2630.3564,3740.5183,10044.759,10730.969,12030.377,6957.9287,6315.996,3101.4863,3118.5864,773.46606,1410.5642,1768.1938,4519.018,4859.364,5490.404,3115.482,4909.677,2822.6375,2909.8289,-5417.832,-3153.8052,-2158.7827,7542.75,8873.523,10669.6875,2966.3396,7597.7427,2916.8496,1583.8953,-4882.421,-2023.438,-806.4595,6127.6387,10931.258,33370.227,1596.0
ID0,2014-10-12,9416.0,3392.8792,1685.408,-1517.5238,15439.121,17146.592,20349.523,9586.703,9729.267,2546.329,4617.9897,5765.38,13146.897,14024.779,16269.242,9599.012,6856.8506,6802.2075,6750.7314,1838.1934,3199.6836,4149.0615,9778.949,10528.911,11973.0625,6752.357,6115.4385,3162.6565,3134.4062,630.8108,1372.0254,1771.752,4624.868,5005.738,5834.296,3139.5654,5001.8267,3656.3782,3251.7942,-15373.779,-10558.714,-6971.3984,15397.706,18368.223,22590.969,4016.983,12674.761,2794.0,2060.447,-21021.969,-2271.394,-354.76172,8190.123,13921.94,35354.984,1676.0
