unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
ID0,1978-06-30,1083180.0,532158.3,375951.34,82933.016,1634201.6,1790408.6,2083427.0,1274512.0,441822.5,803611.06,932071.44,1558429.0,1708008.6,1999665.0,1178510.9,402630.7,710352.1,789914.9,1527405.1,1616896.1,1930976.5,1262250.5,539266.0,825206.94,929351.3,1716644.8,1868580.2,2193809.0,1228868.2,200640.88,679086.25,837613.4,1619167.8,1773952.6,2126206.5,1290270.0
ID0,1978-07-31,1375330.0,824308.3,668101.3,375083.0,1926351.6,2082558.6,2375577.0,1328883.8,514446.53,831158.2,949813.06,1624559.0,1758030.0,2098191.2,1243597.4,523136.6,766223.94,830812.8,1630457.5,1732990.8,1988423.8,1263786.1,686340.06,938844.7,1003344.06,1661500.6,1793927.0,2087124.4,1132887.0,61816.875,568944.1,735915.75,1575482.8,1737432.0,2114612.5,1926500.0
ID0,1978-08-31,456139.0,-94882.67,-251089.66,-544108.0,1007160.7,1163367.6,1456386.0,1110347.1,251742.38,527642.9,663014.1,1490743.0,1618536.8,1825480.2,1016093.6,273054.12,533407.94,574037.0,1354121.0,1506241.2,1738068.0,1140258.8,814800.06,894388.3,918001.0,1560469.1,1682496.5,1977081.1,1089483.8,23945.312,549512.4,714851.94,1588876.2,1757695.2,2160901.5,843637.0
ID0,1978-09-30,1243690.0,692668.3,536461.3,243443.02,1794711.6,1950918.6,2243937.0,1184416.5,261884.38,605088.4,740097.0,1523495.1,1623158.0,1949880.5,1144276.0,321596.0,651715.2,667711.9,1559711.0,1625422.1,1852085.2,1058208.9,702696.1,793624.0,834827.56,1469856.4,1602210.2,1929267.5,1054521.4,38660.0,503962.62,656744.25,1630916.8,1796445.4,2175493.0,1330520.0
ID0,1978-10-31,922653.0,371631.34,215424.34,-77593.984,1473674.6,1629881.6,1922900.0,1146779.4,210187.06,537164.75,719553.75,1556597.1,1725352.1,1946320.2,967769.25,243044.06,493492.44,585736.75,1351051.0,1473847.2,1722434.2,961086.75,586414.6,714324.0,760501.6,1384549.1,1508119.4,1836792.8,1001379.44,-193989.25,319454.2,504160.56,1651860.2,1822709.6,2174608.5,1394260.0
ID0,1978-11-30,848388.0,297366.34,141159.34,-151858.98,1399409.6,1555616.6,1848635.0,1015458.4,170951.62,406656.38,575951.75,1423473.6,1548137.2,1758672.8,1005318.3,227186.31,537877.44,613742.0,1368044.6,1480673.1,1708214.0,930140.25,614993.6,724449.75,738205.4,1290950.5,1403789.5,1737892.0,1012007.8,-103739.625,413220.7,586783.0,1647458.2,1823423.0,2227884.8,950071.0
ID0,1978-12-31,861378.0,310356.34,154149.34,-138868.98,1412399.6,1568606.6,1861625.0,1159672.9,226463.44,555801.0,659282.0,1547666.9,1647940.0,1893464.9,934622.7,211728.69,455351.5,545217.1,1365356.9,1439557.2,1713299.2,1066763.4,647369.6,922635.5,960708.75,1424168.5,1545575.5,1821494.8,1074314.2,51502.125,488555.62,649948.6,1675714.2,1844328.4,2248835.5,675046.0
ID0,1979-01-31,1459230.0,908208.3,752001.3,458983.0,2010251.6,2166458.8,2459477.0,1365436.8,482709.7,760177.0,893785.75,1771396.5,1877198.2,2098323.8,1160492.6,401373.38,647077.1,760769.6,1516173.5,1594507.8,1851920.2,1190238.2,671920.6,919969.4,972216.7,1597702.8,1672643.5,1874645.5,1143959.5,106222.19,499965.2,650699.6,1755420.0,1918130.0,2273827.0,2196870.0
ID0,1979-02-28,1782530.0,1231508.4,1075301.4,782283.0,2333551.8,2489758.8,2782777.0,1396767.0,518086.84,774996.1,917886.44,1778818.9,1920149.5,2150447.0,1277745.8,485549.75,764722.9,823607.0,1655518.0,1744184.8,1987749.5,1302363.1,524835.9,839322.0,946847.75,1845903.2,1952282.6,2133529.2,1205138.0,183264.81,576081.5,738008.44,1709537.0,1871032.8,2254164.5,1330660.0
ID0,1979-03-31,1331670.0,780648.3,624441.3,331423.0,1882691.6,2038898.6,2331917.0,1217516.8,415048.12,623981.6,713856.5,1660118.8,1810899.9,2078677.1,1163156.8,389015.8,674400.25,756542.9,1498892.5,1618923.2,1857657.2,1402844.0,596462.44,828391.94,966764.6,1963004.5,2049740.4,2201632.0,1298669.5,268577.3,637203.0,802240.1,1870701.2,2037039.0,2453529.5,894202.0
ID0,1979-04-30,1672240.0,1121218.4,965011.3,671993.0,2223261.8,2379468.8,2672487.0,1205141.4,328462.0,556274.1,688516.4,1596491.8,1699553.1,1989697.0,1123341.9,363617.56,646798.6,701895.3,1517419.8,1611292.8,1870394.8,1364901.6,580655.9,805283.6,929936.25,1820231.0,1891738.0,1996242.2,1259554.5,197126.0,533707.94,717788.6,1706349.5,1830270.8,2119073.0,1972540.0
ID0,1979-05-31,1266130.0,715108.3,558901.3,265883.0,1817151.6,1973358.6,2266377.0,1090493.1,250576.12,488946.44,581992.06,1491928.2,1594804.1,1891828.1,1102583.6,307257.56,608466.6,660786.75,1435339.1,1519885.8,1817119.9,1233733.8,503308.44,724082.5,797782.8,1668669.1,1746885.5,1876265.0,1173015.2,141219.19,536158.4,721172.6,1496179.5,1597239.2,1831963.5,1656590.0
ID1,1983-08-31,98.54,52.4818,39.42494,14.932441,144.5982,157.65506,182.14757,106.9312,46.728714,72.58325,81.755585,129.2769,141.11008,163.22769,108.88253,86.375465,96.47006,100.06704,115.16635,119.0881,130.19324,106.577385,89.85604,94.8012,96.72173,121.32851,124.97361,133.2427,112.58031,92.39655,98.68742,102.47213,121.00888,123.502174,129.48756,115.2300033569336
ID1,1983-09-30,101.0,54.9418,41.884937,17.39244,147.0582,160.11507,184.60756,107.35832,48.94284,72.11366,81.48427,132.73784,143.90796,169.42969,110.81569,88.02671,97.69441,101.55881,119.70977,125.22969,136.69135,108.56374,86.331894,93.86417,96.64346,126.39043,130.70189,139.39813,112.13184,86.84531,95.844696,99.58814,129.24117,133.40749,141.76048,120.72000122070312
ID1,1983-10-31,100.92,54.861797,41.804935,17.312439,146.9782,160.03506,184.52756,107.84418,43.21994,64.839516,75.25995,135.4546,147.08725,163.98395,111.9957,87.38671,99.13851,102.398094,121.72089,126.95342,139.9913,109.87681,86.58902,93.93973,96.40116,131.62355,137.47815,147.56818,111.76666,88.73377,96.48278,100.03527,132.55899,137.83334,147.08714,127.68000030517578
ID1,1983-11-30,95.7,49.641796,36.584934,12.092437,141.7582,154.81506,179.30756,101.99637,36.913277,59.87791,71.2204,131.31114,141.78821,171.78268,112.14356,84.52116,96.60933,99.79643,123.33388,128.03667,145.3232,108.322426,87.54367,93.718704,95.26855,136.85384,144.30847,157.35205,109.73847,89.5043,95.87604,98.939224,133.39223,140.28923,151.19579,124.19999694824219
ID1,1983-12-31,94.66,48.601803,35.54494,11.0524435,140.7182,153.77507,178.26756,102.11363,35.553802,58.242203,69.683495,134.521,146.3966,168.36313,112.118835,82.64327,97.00122,100.0315,124.18242,130.03351,146.62962,109.759995,89.53125,94.399254,95.89073,143.0805,151.86581,165.62955,110.097275,91.507324,96.14267,99.23142,141.21646,150.39981,163.76413,124.18000030517578
ID1,1984-01-31,97.14,51.0818,38.024937,13.532439,143.1982,156.25507,180.74756,102.824036,41.996986,59.810833,71.37964,133.7372,142.74042,158.20154,113.59131,82.71728,98.18484,102.69103,128.75435,135.12302,150.48659,108.816605,88.75848,93.58386,94.87168,147.83783,157.76212,175.1399,109.05862,89.66187,94.54137,97.65622,144.61739,154.9028,170.10947,123.83999633789062
ID1,1984-02-29,95.16,49.101803,36.04494,11.5524435,141.2182,154.27507,178.76756,104.345276,39.433525,61.267742,70.037445,135.6508,145.54219,167.24658,112.03277,80.688095,94.10397,99.71489,127.33399,134.30772,151.30093,109.00291,88.42736,93.25921,94.79124,149.64018,160.21355,179.22537,106.489426,92.60641,95.23153,98.292175,141.0603,153.66028,172.32306,131.10000610351562
ID1,1984-03-31,98.64,52.5818,39.524937,15.032439,144.6982,157.75507,182.24756,108.02303,45.470615,68.35335,77.39764,139.72351,148.58443,172.37924,113.14989,79.17408,93.5442,99.18131,129.25421,137.09877,153.78062,109.30006,89.80706,93.54959,94.989296,152.90976,164.86732,185.72665,104.264046,91.458786,94.71124,97.34253,140.66495,154.30515,173.63911,125.26000213623047
ID1,1984-04-30,98.45,52.391796,39.334934,14.842437,144.5082,157.56506,182.05756,109.015274,52.418423,69.83745,78.472206,139.97995,150.842,172.24597,120.28949,83.738365,96.33264,102.36032,137.37491,143.33539,157.74913,107.748535,89.41037,93.547585,94.32738,151.35735,164.93233,186.82083,102.62174,89.78593,93.64599,96.04646,134.45882,147.54843,167.69113,121.0199966430664
ID1,1984-05-31,92.15,46.0918,33.03494,8.542441,138.2082,151.26506,175.75757,103.542015,49.736187,62.811733,70.306885,136.3144,147.85419,170.84682,113.585106,77.41116,88.890526,94.76523,129.6099,138.36166,155.5018,104.3475,86.38049,91.815674,92.58542,144.45871,158.40033,182.06851,101.695946,85.8568,92.45103,95.03869,126.752846,137.07466,154.60342,119.55999755859375
ID1,1984-06-30,101.21,55.1518,42.094936,17.60244,147.2682,160.32506,184.81757,110.77347,51.26033,69.14458,77.2309,142.29086,150.66504,175.83136,119.13549,77.408264,93.69267,99.334274,136.43695,143.75937,159.10275,109.02166,88.535355,93.93743,95.81611,145.99559,158.84784,181.22192,104.24548,87.43109,93.24488,96.5606,127.920654,136.1203,150.39441,119.30999755859375
ID1,1984-07-31,111.46,65.401794,52.344936,27.85244,157.5182,170.57506,195.06757,113.82392,56.318172,73.8755,80.062805,144.70465,151.71373,172.76855,125.58298,82.98799,97.528786,103.04935,144.42587,152.25931,165.96039,114.43578,93.7578,97.41285,100.386566,147.98956,159.52599,180.52298,113.05629,91.9161,97.434364,101.23214,138.3243,144.5398,155.96875,137.35000610351562
