unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
ID0,1984-12-31,5.07,1.4019002,0.36204472,-1.588551,8.7381,9.777956,11.728552,6.5284877,6.718519,-5.0184917,-1.6213989,0.05948472,12.669335,14.237596,17.763725,6.4671803,7.8034973,3.7811706,3.7731724,2.0528598,2.5858958,2.8646243,4.699231,4.9477286,5.421706,3.774861,3.5663729,5.686425,5.682002,4.256704,4.5946,4.822828,6.5365314,6.7543793,7.104303,5.7067366,3.5108075,3.7412634,3.78826,-1.4874706,0.009556532,0.88552964,6.478389,7.37997,9.212603,3.6982436,5.0276346,4.238679,4.3072386,1.122615,2.0498376,2.4599955,5.9805484,6.2653885,7.7128105,3.240000009536743
ID0,1985-03-31,5.86,2.1919,1.1520447,-0.7985511,9.5281,10.567956,12.518552,6.838636,6.732159,-3.0601125,0.1367836,1.7026178,12.318396,13.844938,16.022785,6.9761987,6.9628644,3.9459424,3.968318,1.9759152,2.614416,2.8429132,4.983663,5.368597,5.8959374,3.9351258,3.676003,3.951625,3.8981538,-1.0130243,0.5708175,1.1439116,6.6393423,7.27916,8.597628,4.105773,5.070526,3.6719208,3.583268,-2.0993524,-0.6540835,0.3410182,6.9917455,8.265707,10.099163,3.7600617,5.513176,3.9801884,3.7466116,0.27607608,1.7183415,1.873697,6.072994,6.746632,9.622259,2.7799999713897705
ID0,1985-06-30,6.79,3.1218998,2.0820446,0.13144873,10.4581,11.497955,13.448551,7.87416,7.8842607,-4.4006195,-1.1757822,0.8707236,14.780575,16.70679,20.536573,7.8850927,8.416742,4.2352614,4.2259545,2.1543357,2.7287226,3.081019,5.4552855,5.844056,6.3908253,4.264085,3.7985864,5.5374546,5.4058585,-2.2293854,-0.16684675,1.2100395,10.14332,11.247664,13.764765,5.5309114,6.366091,4.114805,4.1378274,-1.9299064,-0.17630935,0.77098894,7.3430524,8.119691,9.658244,4.057414,5.3046274,3.9014397,3.703558,0.7717545,1.2144057,1.4890229,5.955291,7.9806137,10.68632,2.25
ID0,1985-09-30,5.02,1.3519,0.31204453,-1.6385512,8.6881,9.727956,11.678552,7.963692,7.9549747,-5.1999054,-1.414474,0.7084265,15.466108,17.180645,19.906584,8.198654,8.62044,4.4423256,4.471796,1.5912939,2.4637382,2.948104,5.875797,6.2599244,6.9302044,4.399788,3.9769187,4.668129,4.5421066,-5.861127,-3.618845,-1.4948006,11.024388,12.803335,16.167564,4.770272,7.6849318,4.4542584,4.5328965,-0.9221606,0.7303424,1.6920625,7.4476376,8.209347,9.866241,4.5380125,5.1076813,3.5976307,3.4993954,-1.8014107,-0.38451743,0.83849835,6.685556,8.26503,10.84229,1.0199999809265137
ID1,1988-12-31,102.0,93.1443,90.633835,85.924614,110.8557,113.366165,118.075386,99.67013,99.68266,45.70231,63.547497,72.835266,127.335754,135.73434,150.45294,99.33159,109.18782,112.07556,112.18239,104.52909,106.753296,107.844574,116.10448,117.17721,119.427216,112.150406,90.31542,117.38217,117.35276,111.04253,112.74326,113.70419,120.93363,122.0261,123.76129,117.399124,89.96106,101.36176,101.280914,72.358925,81.37304,85.590775,117.08103,121.36095,130.82117,101.56316,99.64679,105.18487,105.39367,85.99368,94.286606,95.287575,113.201965,115.73538,119.362274,100.0
ID1,1989-03-31,105.0,96.1443,93.633835,88.924614,113.8557,116.366165,121.075386,100.65885,100.90518,58.855095,68.978096,77.06491,123.84552,129.94037,141.7849,101.59344,105.45242,111.69193,111.75976,101.41957,104.3716,106.060394,117.41117,119.3479,122.92799,111.62587,91.702446,121.90953,121.60564,110.47243,114.494156,116.063545,128.10768,130.05675,134.12201,121.78714,92.08512,100.53867,100.4031,69.51155,77.07169,82.30938,118.4671,124.43838,135.0321,100.97963,100.940765,102.65856,102.26431,90.31728,92.06417,93.02984,110.38182,115.20471,122.35325,101.0
ID1,1989-06-30,109.0,100.1443,97.633835,92.924614,117.8557,120.366165,125.075386,106.09847,106.71971,46.397575,64.76031,72.7667,137.19489,145.41675,164.14102,105.63216,111.91282,114.06265,114.34315,100.53157,103.816124,105.94294,121.765594,124.34538,128.26796,113.975945,93.11815,121.89294,121.903305,96.18795,104.40679,109.46861,135.04968,138.4214,145.99986,122.46799,97.451935,99.34723,98.890945,68.23591,77.62373,82.312294,117.75598,122.642075,131.51405,99.47743,101.56578,101.726654,101.72594,88.64883,91.046394,94.28907,108.91273,111.24195,114.03769,99.0
ID1,1989-09-30,110.0,101.1443,98.633835,93.924614,118.8557,121.366165,126.075386,107.86592,107.837746,48.3412,65.57964,74.74542,142.55026,151.53926,167.79486,107.02549,112.817955,114.89125,114.75987,99.71901,103.807,106.00094,124.06792,126.474686,131.64255,114.989624,94.2574,122.036575,121.82091,102.66556,107.19407,109.96146,133.77333,137.42384,143.75839,121.76532,96.659775,101.246414,101.22811,70.20262,78.30075,82.719055,120.196304,123.64128,132.97818,101.72684,101.00985,100.29168,101.087845,86.75122,89.15073,91.94196,108.54245,109.01168,111.13957,99.0
ID10,1989-06-30,169.0,146.52104,140.14856,128.19485,191.47896,197.85144,209.80515,161.50314,160.47443,-16.03154,36.77033,63.316307,257.65155,290.43246,331.47568,162.57552,166.11401,142.42464,142.2093,88.3266,105.34566,112.355865,171.82825,180.85536,193.52676,142.13068,111.289665,76.745384,77.71017,38.244427,50.071938,55.76582,97.90912,102.85389,114.00481,76.60498,103.55464,119.928055,121.63394,10.862335,40.520626,59.660763,180.25528,199.81082,228.93774,118.682945,134.06177,168.60779,170.29115,132.3293,142.18604,148.03403,191.88457,196.25146,199.20062,190.0
ID10,1989-09-30,182.0,159.52104,153.14856,141.19485,204.47896,210.85144,222.80515,170.9317,171.01898,20.790329,64.74296,84.41395,259.069,277.43475,312.1526,170.62979,152.81255,155.18028,154.54077,83.77162,102.90375,113.20361,197.82538,207.66147,231.00238,154.82297,121.151886,69.79817,70.59755,-14.530891,13.73716,26.410648,112.38735,123.786865,147.7905,70.66443,121.763985,119.30996,122.59857,-25.127098,22.599358,44.894943,189.59875,205.94484,255.84436,119.854965,145.5455,173.18857,171.98766,144.38477,153.00705,156.87976,191.84346,194.9372,206.58092,264.0
