unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
ID0,1984-12-31,5.07,1.4019002,0.36204472,-1.588551,8.7381,9.777956,11.728552,5.130045,0.774971,2.0721138,2.7487047,7.352968,8.356215,10.285797,6.405159,2.3602087,3.7651114,4.3075504,8.391304,9.351681,11.857145,4.848935,1.6547273,1.7208792,1.9457884,6.5491567,6.902459,9.014364,3.896677,1.1997079,1.6609827,1.7918282,5.8463755,6.4563227,8.647484,3.240000009536743
ID0,1985-03-31,5.86,2.1919,1.1520447,-0.7985511,9.5281,10.567956,12.518552,5.247907,0.5338378,2.1250026,2.860414,8.053009,9.203195,11.917858,7.3621297,1.648358,3.6017709,4.5368967,10.610897,11.421573,14.1353035,4.8843327,-0.33230567,-0.6329844,-0.052307606,7.5438986,8.333132,11.967276,4.132102,-0.59134674,0.27730012,0.6821568,6.66551,7.6935167,10.922012,2.7799999713897705
ID0,1985-06-30,6.79,3.1218998,2.0820446,0.13144873,10.4581,11.497955,13.448551,6.0617504,-0.1752758,2.5917184,3.1562355,9.225832,10.636017,12.315569,7.4257426,1.3320576,3.652412,4.7253585,11.258314,12.34779,16.122595,5.8655825,-0.42429543,-0.6386268,0.24228168,8.870102,9.680645,14.169529,5.3049912,-0.7629037,1.2962991,2.3619294,6.8244886,7.542628,10.231507,2.25
ID0,1985-09-30,5.02,1.3519,0.31204453,-1.6385512,8.6881,9.727956,11.678552,4.922968,-0.63768935,1.4867964,2.0975308,8.471341,10.058022,14.334751,8.332711,0.9591954,3.6299186,4.7261667,13.24468,14.40182,18.422207,4.526823,0.76177645,2.1218598,3.1642873,5.225646,5.80528,8.508346,3.9124026,-0.9686742,0.3832214,1.0896314,5.474957,6.489896,9.016018,1.0199999809265137
ID1,1988-12-31,102.0,93.1443,90.633835,85.924614,110.8557,113.366165,118.075386,112.523865,94.212776,102.17669,105.60432,118.7513,120.99278,126.12291,113.254944,95.97928,101.61193,104.52268,122.596146,125.57828,132.77188,111.49344,100.7188,105.927536,107.38092,115.59419,117.890015,122.76138,113.12427,104.85545,109.43394,110.296555,116.151,117.562515,123.41646,100.0
ID1,1989-03-31,105.0,96.1443,93.633835,88.924614,113.8557,116.366165,121.075386,112.24691,95.25845,100.77549,104.07527,120.34992,123.11159,139.3147,116.457886,96.041626,104.546265,106.74712,127.69617,131.35165,139.66614,114.81278,100.249245,104.90334,107.46315,122.9191,126.57649,142.21155,116.290474,103.52237,109.89633,111.99313,121.49538,123.664375,134.51215,101.0
ID1,1989-06-30,109.0,100.1443,97.633835,92.924614,117.8557,120.366165,125.075386,115.483154,90.027824,101.50415,105.07984,125.554,128.82346,137.6444,120.545296,97.40536,105.52969,108.39941,134.01637,138.48726,148.98207,114.854004,92.36255,98.52813,104.024765,125.571335,130.52734,154.18173,117.981384,98.51195,105.98811,109.59085,125.88022,129.46594,146.70618,99.0
ID1,1989-09-30,110.0,101.1443,98.633835,93.924614,118.8557,121.366165,126.075386,113.53248,86.73592,98.18797,102.7796,125.82916,128.77264,150.42072,122.28061,95.83687,104.42726,108.44563,138.04051,143.34259,155.7844,111.84485,90.737335,94.56299,98.93167,125.09694,130.3927,157.24734,117.38182,99.86992,104.19723,106.82252,127.14192,130.73131,151.88239,99.0
ID10,1989-06-30,169.0,146.52104,140.14856,128.19485,191.47896,197.85144,209.80515,112.188576,74.81837,85.769806,89.415855,141.37051,153.16805,179.17474,141.55441,83.831245,101.52739,112.31334,161.5817,169.22253,186.16473,127.87419,44.614037,79.439095,91.73226,158.82492,172.51013,200.24957,115.36381,65.104515,87.21137,90.1072,154.46954,160.87033,192.84189,190.0
ID10,1989-09-30,182.0,159.52104,153.14856,141.19485,204.47896,210.85144,222.80515,117.762405,60.71669,86.24092,93.23624,151.76273,164.38242,191.67368,155.68019,94.62511,111.189514,120.035194,178.73053,188.16766,211.07451,140.23688,11.820625,59.639893,85.18113,171.83537,191.22916,246.45349,127.95703,19.458725,53.426266,66.52418,171.98479,186.27943,228.26407,264.0
ID10,1989-12-31,152.0,129.52104,123.14856,111.19486,174.47896,180.85144,192.80515,118.104645,60.995155,83.28647,88.35977,162.07516,183.14957,198.49065,147.60251,77.78746,104.78703,113.97851,173.04515,183.38004,219.21451,119.741165,-5.171074,42.44232,60.26507,158.19943,175.98154,223.67184,124.18803,40.40146,74.69033,88.47638,145.35092,153.3577,174.21625,247.0
ID10,1990-03-31,132.0,109.521034,103.14856,91.19486,154.47896,160.85144,172.80515,123.12819,53.331726,82.81815,92.40587,151.07077,177.59067,210.73419,159.55234,76.65396,100.22655,118.24568,188.62413,198.81882,227.52121,127.33264,-5.0734634,42.52574,66.49164,159.58826,179.94846,240.35666,117.93121,62.43992,89.95602,99.70494,131.21704,138.01375,150.92188,258.0
ID100,1981-09-30,290.0,196.96423,170.58987,121.11599,383.03577,409.41013,458.884,321.47858,109.583046,154.48279,200.05951,407.66214,445.13586,524.7846,290.0279,157.40039,207.30101,225.03996,346.3557,366.232,398.58368,337.61508,192.2697,239.57843,247.77995,392.07132,405.44485,452.88406,347.17996,155.927,245.5389,284.34653,386.47083,401.96033,471.04327,48614.30078125
ID100,1981-12-31,213.1,120.06423,93.68989,44.215996,306.13577,332.51013,381.984,290.92456,89.59689,143.47403,173.94618,422.9081,482.76093,613.9841,256.99246,94.670166,169.30763,186.8353,329.91132,356.55133,387.52832,247.57161,63.27916,147.4791,168.03546,314.22452,349.82147,422.93472,272.71472,94.95503,170.6938,196.06267,332.98892,365.14575,434.58942,39717.5
ID100,1982-03-31,337.5,244.46423,218.08987,168.616,430.53577,456.91013,506.384,329.4256,66.075836,172.71552,203.03741,490.21436,547.5095,643.3529,240.25085,63.102264,128.52785,150.52975,333.95224,363.5639,406.93356,342.07126,112.24198,220.20807,263.17175,408.7716,440.63812,530.5592,359.2085,89.90074,184.99521,226.54651,442.00146,470.54486,587.8442,45665.1015625
ID100,1982-06-30,343.3,250.26422,223.88986,174.41599,436.33575,462.7101,512.184,343.6686,63.61194,158.79128,201.85509,497.13843,553.4347,740.80365,292.60284,67.290115,137.6138,169.34596,406.74884,439.9885,501.3457,345.0211,95.32184,183.76385,221.39468,422.84576,455.3651,558.86957,349.9773,51.272324,148.09465,186.1239,464.05957,507.0407,644.10205,38440.69921875
ID101,1994-12-31,121.7,117.46716,116.26722,114.01631,125.93283,127.132774,129.38368,127.80018,120.99432,125.60529,126.29722,130.8908,131.70804,134.88506,127.74089,124.88333,126.263306,126.65066,128.68893,129.26534,131.1164,124.68566,108.71266,115.31436,118.51791,129.28607,131.58626,138.50992,127.972916,119.69812,125.725685,126.53959,132.01788,133.07132,137.23184,582417.0
ID101,1995-03-31,122.7,118.46716,117.26722,115.01631,126.93283,128.13278,130.38368,129.79732,120.7715,124.28523,126.17555,132.84705,133.69574,143.27173,129.14221,124.30464,126.929306,127.501915,130.61935,131.21785,133.90149,127.79011,116.13539,121.951004,122.54404,135.18124,138.40271,147.72267,133.80948,120.2604,131.59482,134.00673,140.48117,142.90524,154.6707,634526.0
ID101,1995-06-30,124.1,119.867165,118.66722,116.41631,128.33282,129.53278,131.78368,131.99911,118.62307,125.01699,127.29499,135.58781,136.95462,142.52177,130.88527,124.40239,127.43443,128.22005,133.13486,134.1295,137.47516,128.5745,113.70524,119.61025,121.09581,136.89781,141.22928,155.96844,139.29543,125.702225,137.05403,139.7889,147.79416,150.42014,168.4363,711326.0
ID101,1995-09-30,126.0,121.767166,120.56722,118.316315,130.23283,131.43279,133.68369,133.4193,116.077515,124.64532,127.75293,137.35269,138.3798,150.46866,132.34482,123.27207,127.466705,128.43742,135.78964,136.84602,140.18993,131.07918,106.56235,113.61044,120.16957,138.33022,141.79007,164.40338,139.53728,126.84573,134.66043,137.00278,149.20923,151.70358,173.49365,654071.0
