unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
ID0,2014-08-10,4582.0,-1441.121,-3148.592,-6351.524,10605.121,12312.592,15515.523,8039.4116,8084.087,3822.949,4877.077,5655.2173,10344.509,11005.187,12216.552,8063.729,5733.736,8510.273,8548.21,2325.5,3970.9185,4883.0547,11915.988,12740.776,14040.985,8528.082,6590.3154,3086.4463,3054.9126,-365.48828,435.29956,1012.4988,5208.965,5760.1147,6886.9795,2968.1487,5524.9595,6566.831,6666.231,-19897.717,-11781.891,-8397.18,21359.484,25544.088,32097.873,6966.7285,15382.332,7728.895,7480.181,4797.979,5648.4233,6000.74,9840.711,10350.443,10544.756,10975.0
ID0,2014-08-17,10449.0,4425.879,2718.408,-484.52383,16472.121,18179.592,21382.523,8589.266,8591.749,1090.3247,3568.7603,4788.4478,12344.141,13473.153,15436.039,8561.959,6830.9453,7933.295,8000.046,1040.0352,3348.3867,4322.7256,11477.121,12584.919,14357.554,7880.3057,6684.9385,3002.1172,2972.845,-634.5176,343.13452,866.9734,5074.903,5586.8706,6819.064,2941.1548,5478.7344,5444.38,5574.8237,-22469.727,-13180.52,-8851.955,19084.379,23318.12,30199.096,6085.5337,15334.03,6902.9404,6965.97,3754.5786,4327.232,4998.3994,8708.133,9538.715,10532.002,10990.0
ID0,2014-08-24,4199.0,-1824.121,-3531.592,-6734.524,10222.121,11929.592,15132.523,7137.746,7091.34,167.73633,2087.4043,3208.9397,10995.611,12075.2295,14132.078,7061.7773,6964.298,7454.849,7541.866,1358.6228,3171.5127,4160.7173,10611.656,11541.642,13268.359,7498.0127,6434.2617,2939.454,2934.1885,-439.7627,478.10254,1039.6855,4862.5464,5292.1104,6390.2803,2938.9526,5402.0894,7474.8423,7446.127,-24355.326,-14038.145,-10154.483,24663.742,30328.14,38808.914,6662.7656,16925.127,6712.3433,6772.9287,3585.1287,4433.7373,4634.75,8689.432,9381.8,10344.111,11456.0
ID0,2014-08-31,7645.0,1621.879,-85.592026,-3288.524,13668.121,15375.592,18578.523,6531.427,6477.181,877.8955,2369.2925,3315.9575,9972.178,10779.494,12496.167,6471.3535,6515.3037,7606.3115,7698.158,1840.2324,3410.695,4266.54,10863.656,11845.756,13661.56,7639.657,6402.9766,2894.963,2862.3271,-364.60596,553.46704,1006.7456,4888.4854,5397.9517,6370.326,2874.58,5397.709,6278.367,6263.3936,-30249.514,-19264.81,-13572.668,25416.47,30536.965,40715.812,5865.686,20121.79,6730.422,6768.8516,2463.127,4389.4,4757.2666,8981.148,9393.248,10502.11,10545.0
ID0,2014-09-07,10510.0,4486.879,2779.408,-423.52383,16533.121,18240.592,21443.523,7296.259,7299.6553,1722.7927,3454.7102,4222.251,10261.064,11282.062,12897.757,7378.7695,6259.913,7882.6973,7949.156,2051.649,3619.899,4652.4233,11017.211,11769.85,13356.056,7861.5366,6447.495,2847.4854,2854.1704,-621.41846,432.34985,1031.6648,4690.9683,5255.793,6143.0215,2819.5571,5333.333,6168.736,6197.6562,-23584.635,-13902.453,-9916.967,22529.848,26317.898,34405.516,5721.261,16732.773,6931.3877,6943.9346,3272.1262,3757.7034,4708.623,9318.471,9876.488,10549.801,10813.0
ID0,2014-09-14,10547.0,4523.879,2816.408,-386.52383,16570.121,18277.592,21480.523,7925.042,8005.232,3084.841,4543.633,5307.562,10509.511,11052.578,12747.38,7862.451,5983.8135,8031.347,7896.5664,2514.1138,3923.0781,4984.6836,11293.559,12263.501,13959.935,7951.04,6424.715,2819.934,2833.4348,-477.40723,544.45386,956.68994,4691.8237,5264.8916,6093.227,2858.5762,5310.9507,5656.988,5964.5596,-24992.758,-15103.693,-10185.02,21567.324,25098.242,35736.66,5251.246,15956.271,6971.9863,6948.1777,3270.6592,4497.6416,4881.7505,9129.084,9419.936,10662.85,3610.0
ID0,2014-09-21,10120.0,4096.879,2389.408,-813.5238,16143.121,17850.592,21053.523,6810.6826,6811.227,1785.4714,3197.986,3930.9692,9673.418,10637.877,12297.145,6806.924,6121.2764,7714.842,7696.3926,2259.0024,3674.802,4557.194,10716.176,11842.855,13809.441,7856.2524,6423.7363,2858.5676,2864.0254,-498.8623,517.24805,1117.5364,4569.5225,5160.9375,5937.202,2854.9412,5299.525,4436.667,4209.223,-29675.252,-20862.178,-15988.461,23815.535,29333.01,39884.92,5027.7593,19459.406,6965.321,7170.5864,3714.7942,4239.1587,4659.838,8613.541,9416.211,10258.787,1328.0
ID0,2014-09-28,11099.0,5075.879,3368.408,165.47617,17122.121,18829.592,22032.523,5648.2656,5690.6455,1248.634,2417.6064,3188.7515,8110.34,8867.746,10027.171,5533.8193,5866.4165,7657.427,7597.6567,1457.5112,3141.442,4212.3833,11045.488,12292.209,14123.373,7631.842,6588.505,2876.8862,2902.3452,-412.49756,423.27148,904.93677,4853.3604,5378.555,6354.834,2877.778,5409.5444,6118.703,5109.1885,-43896.125,-27004.402,-19416.588,34501.82,41616.68,57697.117,6145.1807,25122.736,7303.8125,7489.9014,3750.1257,4414.2305,5573.3564,9066.52,9454.635,9890.074,1255.0
ID0,2014-10-05,11474.0,5450.879,3743.408,540.4762,17497.121,19204.592,22407.523,5033.4717,5083.9844,524.77905,1791.166,2440.895,7535.841,8221.528,9330.217,5085.4624,5875.0425,7014.6494,6922.8516,1450.2349,3132.3086,4053.8984,10069.873,10859.572,12809.932,7111.6304,6252.331,2777.0015,2766.0342,-458.7881,577.2124,1064.8071,4452.038,4926.4893,5672.362,2794.3313,5252.398,5695.9463,5869.277,-27969.262,-18566.201,-13091.889,24657.646,28338.193,37427.047,5405.5176,18536.016,7559.154,7717.711,4016.0154,4814.734,5106.838,9489.701,9964.078,11386.953,1596.0
ID0,2014-10-12,9416.0,3392.8792,1685.408,-1517.5238,15439.121,17146.592,20349.523,4713.737,4647.3047,-551.9834,1129.7402,1889.8613,7562.0156,8353.618,9840.697,4757.257,6187.468,6800.7793,6687.2773,794.37085,2581.5735,3557.8718,10056.83,11024.543,13117.325,6808.6475,6370.8975,2794.961,2837.912,-263.8745,768.8884,1209.8503,4439.508,4862.9365,5795.414,2769.6772,5217.9526,4858.352,4486.8066,-16036.742,-10184.709,-7306.1787,16760.102,20130.54,28102.678,4712.284,13230.164,7512.504,7416.903,4429.071,5231.919,5470.822,9692.048,10266.549,11333.371,1676.0
ID0,2014-10-19,4925.0,-1098.121,-2805.592,-6008.524,10948.121,12655.592,15858.523,4366.7246,4369.3613,-369.03223,969.8821,1743.678,6923.16,7904.677,9260.508,4382.3125,5937.14,6658.658,6761.6807,140.81055,2261.9712,3040.995,9906.684,10915.975,12757.581,6593.926,6541.1143,2694.599,2698.6033,-224.26807,547.0503,976.8157,4379.984,4751.1323,5717.887,2712.8696,5177.7783,3852.8828,3841.7131,-19739.602,-13229.029,-9057.802,17219.752,20888.14,28704.72,3590.4373,14356.285,7587.673,7482.082,3971.8875,4820.7114,5337.6025,10167.795,10489.992,11308.593,1319.0
ID0,2014-10-26,4219.0,-1804.121,-3511.592,-6714.524,10242.121,11949.592,15152.523,4169.798,4159.9956,-1511.1553,69.24463,1119.9832,7413.7866,8087.798,10203.576,4309.7793,6423.867,6374.929,6341.3975,277.0542,2174.0496,3227.046,9642.513,10774.128,12283.335,6379.307,6544.923,2610.789,2516.5562,-175.03076,761.574,1161.0898,4138.641,4644.913,5683.2817,2617.7173,5111.929,3920.055,3657.8938,-14526.232,-10293.688,-6935.924,14652.983,17747.195,24789.662,3822.4036,12288.835,7618.3843,7553.3916,3320.6318,4890.76,5204.6294,9728.155,10643.064,11373.666,1281.0
ID1,2014-08-10,22858.0,19427.783,18455.365,16631.27,26288.217,27260.635,29084.73,22722.982,22755.041,20749.29,21339.936,21699.36,23768.113,24012.79,24508.012,22702.756,19929.19,22476.957,22516.688,20398.64,20955.254,21393.992,23618.176,23895.45,24505.816,22469.246,19967.844,21102.059,21028.959,11167.076,14514.375,15893.475,26640.383,28039.46,31072.354,21268.73,23354.125,21323.516,21324.533,18040.97,18885.074,19488.871,23066.666,23671.465,24939.594,21254.227,20521.592,22062.66,22134.133,18673.516,19483.846,20128.754,24139.412,24551.594,25008.389,22385.0
ID1,2014-08-17,22211.0,18780.783,17808.365,15984.27,25641.217,26613.635,28437.73,22079.31,22053.363,19909.055,20535.893,20827.164,23436.59,23827.893,24487.85,22063.766,20120.512,22512.795,22527.836,19895.824,20732.395,21096.16,23946.602,24335.482,25108.666,22501.158,20206.56,21349.764,21456.695,11344.494,14483.382,15878.788,26501.648,28241.152,30359.758,21157.96,23200.035,21489.643,21460.438,18273.613,19057.605,19559.648,23464.895,23901.238,24876.857,21447.977,20678.672,21889.709,22033.227,17966.066,19183.01,20170.793,23705.494,23878.871,25970.91,22695.0
ID1,2014-08-24,22495.0,19064.783,18092.365,16268.27,25925.217,26897.635,28721.73,21866.105,21872.31,18951.098,19786.71,20300.447,23500.445,23850.158,24541.17,21849.996,20330.105,22787.428,22758.324,20168.24,20937.82,21325.006,24239.707,24635.455,25414.873,22755.219,20221.82,20956.361,21105.504,12537.158,14966.908,16184.129,25458.066,26931.436,29417.746,20869.238,22721.406,21093.195,21052.514,16679.342,17845.379,18633.379,23536.055,24328.055,25613.547,21235.2,21078.375,21808.924,21821.85,18415.79,19250.83,19701.305,24259.363,24444.053,25420.123,20728.0
ID1,2014-08-31,22188.0,18757.783,17785.365,15961.27,25618.217,26590.635,28414.73,21493.688,21469.938,19283.955,19881.156,20225.955,22856.611,23183.486,23767.453,21551.441,20119.035,22834.52,22822.92,20195.127,21000.875,21381.11,24310.035,24651.828,25482.916,22815.05,20175.646,21142.9,21004.373,11929.865,14754.109,16567.39,25769.334,27303.652,30125.094,20949.256,22851.459,20996.186,20978.785,17520.314,18367.047,18915.275,23076.951,23654.55,24807.781,21009.484,20718.785,21632.146,21946.092,17183.445,18685.217,19858.51,23668.982,24172.363,24439.941,22158.0
ID1,2014-09-07,22253.0,18822.783,17850.365,16026.27,25683.217,26655.635,28479.73,22083.008,22081.83,19432.74,20305.0,20627.092,23583.918,23897.352,24734.285,22040.688,20190.305,22690.977,22636.021,19974.477,20730.574,21174.482,24188.77,24657.756,25391.36,22690.18,20308.496,20455.059,20431.059,12150.402,14478.124,15971.307,24975.455,26262.578,29152.21,20676.664,22646.027,21072.889,21010.87,17348.846,18375.371,19008.777,23194.002,23814.355,24826.734,21022.584,20757.414,21694.332,21745.268,17081.459,18623.893,19009.871,23876.283,24861.004,25924.412,20707.0
ID1,2014-09-14,22539.0,19108.783,18136.365,16312.27,25969.217,26941.635,28765.73,22154.31,22156.02,19549.22,20344.773,20711.557,23530.28,23893.922,24660.959,22234.492,20182.822,22274.852,22277.188,19418.49,20289.035,20710.992,23841.672,24363.088,24975.082,22246.242,20347.58,20749.43,20656.295,12782.439,14945.717,16328.497,25493.336,26682.375,28923.875,20794.701,22657.812,21194.914,21191.14,16418.232,17715.639,18562.803,24023.729,24594.895,26099.41,21264.26,21209.723,21518.922,21682.566,16478.035,18191.574,18983.084,24149.658,24819.852,26062.889,20330.0
ID1,2014-09-21,20216.0,16785.783,15813.365,13989.27,23646.217,24618.635,26442.73,22370.625,22392.074,19434.246,20277.195,20782.355,23854.514,24442.098,25114.367,22400.482,20309.338,21871.553,21856.41,18938.555,19903.182,20285.719,23453.205,23907.332,24892.234,21878.69,20354.303,20723.79,20766.734,13231.288,15309.06,16493.883,25029.943,26361.271,28260.145,20788.943,22517.557,20880.31,20838.805,16404.338,17670.139,18352.912,23378.887,24167.844,25332.193,20820.465,21027.95,21228.262,21536.383,15381.72,17526.1,18915.953,23453.707,23828.68,25559.014,18938.0
ID1,2014-09-28,19511.0,16080.784,15108.365,13284.27,22941.217,23913.635,25737.73,21824.617,21826.264,19194.94,19949.957,20356.408,23263.48,23703.617,24485.44,21787.17,20231.01,21603.955,21663.242,18348.537,19185.58,19715.354,23350.887,23983.441,24975.898,21585.336,20493.23,20595.707,20673.738,12923.695,15340.909,16469.598,24650.031,25806.96,28146.814,20577.602,22472.195,20478.16,20455.549,16571.076,17751.328,18364.953,22635.174,23192.232,24138.486,20458.65,20829.062,21015.05,21350.824,16064.249,17563.88,18229.645,23183.701,23852.123,25063.96,18668.0
ID1,2014-10-05,20344.0,16913.783,15941.365,14117.27,23774.217,24746.635,26570.73,22025.07,22069.773,19352.502,20123.156,20546.268,23443.621,23787.87,24648.797,22047.867,20230.188,21059.113,21010.057,17961.553,18804.396,19264.826,22864.75,23365.496,24545.877,21030.076,20445.22,20632.992,20552.559,12769.836,15002.538,16280.643,24978.64,26093.045,28711.305,20654.412,22437.873,20036.355,19993.674,15799.695,16883.793,17641.941,22492.195,23167.834,24566.13,20095.137,20985.303,20587.92,20638.473,16823.012,17145.459,17894.215,23237.912,23930.885,25011.064,17885.0
ID1,2014-10-12,19781.0,16350.784,15378.365,13554.27,23211.217,24183.635,26007.73,21622.912,21653.088,18964.604,19555.441,20157.861,23090.205,23503.701,24282.543,21604.525,20263.852,20581.121,20588.676,17340.154,18243.904,18773.857,22437.902,23052.896,24081.957,20608.434,20526.61,20578.693,20699.848,13111.762,15213.048,16511.465,24605.531,25609.498,27912.928,20504.78,22306.53,20045.59,20001.531,15292.212,16871.396,17636.824,22597.56,23141.227,24342.43,20012.428,21002.455,20142.621,20065.924,16823.078,17287.176,17956.846,22683.977,23062.45,23925.838,17283.0
ID1,2014-10-19,19058.0,15627.784,14655.365,12831.27,22488.217,23460.635,25284.73,21460.25,21480.223,18714.168,19684.756,20033.768,22940.422,23282.033,23945.146,21475.38,20234.73,20290.078,20290.877,17104.285,18000.973,18533.436,22016.05,22537.266,23738.0,20265.06,20503.861,20460.783,20431.955,13546.298,15268.698,16277.388,24659.47,25649.615,27981.04,20340.129,22273.617,19645.318,19619.912,15123.229,16591.691,17388.244,22038.336,22716.652,23813.3,19706.154,20857.74,19908.29,19670.504,15901.847,17136.088,17762.975,22592.447,23030.61,24552.027,17944.0
ID1,2014-10-26,19167.0,15736.784,14764.365,12940.27,22597.217,23569.635,25393.73,21595.883,21561.742,18524.363,19558.863,20026.99,23199.0,23695.031,24309.037,21526.922,20318.738,19871.955,19845.984,16685.41,17578.455,18059.316,21761.703,22324.379,23551.723,19879.568,20521.76,20221.213,20116.086,12892.924,14821.699,16092.162,24257.42,25517.14,27136.598,20274.914,22238.598,19683.309,19679.518,15597.698,16934.84,17491.033,21782.695,22276.047,23355.312,19673.703,20787.617,19523.371,19376.494,14866.172,16362.09,17093.371,22496.459,22868.729,23342.717,16862.0
ID10,2014-08-10,25600.0,22371.674,21456.488,19739.752,28828.326,29743.512,31460.248,28824.217,28723.957,23410.16,25129.04,25977.195,31724.424,32751.246,34199.57,28734.727,29469.648,28265.16,28293.057,21010.797,23341.469,24296.438,32243.516,33223.4,34631.844,28075.842,30295.729,27285.78,27165.781,16293.734,19563.21,21319.084,33440.918,35250.223,37505.793,27318.209,32028.38,25727.646,25647.63,19803.926,21267.176,22161.559,29168.803,30292.514,31991.89,25731.629,30075.992,27861.062,27858.566,23327.68,24891.303,25492.957,30635.348,31440.654,32126.594,1324.0
ID10,2014-08-17,25991.0,22762.674,21847.488,20130.752,29219.326,30134.512,31851.248,27758.445,27779.43,22268.047,23988.83,24731.066,30667.02,31526.564,32803.855,27866.215,29638.578,27862.383,27797.678,20021.775,22569.514,23771.521,32007.7,33054.61,35050.4,27812.912,30566.918,27224.582,27282.623,17122.29,19505.836,21517.002,32785.65,34427.39,38244.242,27172.502,31822.934,26030.416,26063.848,18863.268,20903.484,22042.84,30175.564,31174.498,32964.902,26088.9,30259.973,28900.348,28961.281,22816.645,24674.967,25797.943,31825.986,32278.516,34246.375,1324.0
