unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
ID0,1984-12-31,5.07,1.4019002,0.36204472,-1.588551,8.7381,9.777956,11.728552,3.230328,3.1647081,-1.9932165,-0.5188439,0.30111718,6.2572293,7.0336695,8.993454,3.1044648,5.094369,4.142165,4.1466365,2.5300155,2.94535,3.2442575,5.0585065,5.3805637,5.876197,4.13815,3.5949395,5.331877,5.366581,-0.13607645,1.5725186,2.540469,8.183786,8.901502,10.135954,5.2508745,5.0495105,3.4779072,3.5002975,-2.1976671,-0.2831335,0.4350481,6.378209,7.149623,8.976423,3.521257,5.1111774,4.73491,4.934617,1.9319069,2.567599,3.0072267,6.2679625,6.6826878,7.4753838,3.240000009536743
ID0,1985-03-31,5.86,2.1919,1.1520447,-0.7985511,9.5281,10.567956,12.518552,3.186185,3.0842283,-1.5154371,-0.17592978,0.5831964,6.0124645,6.8673067,8.586256,3.1453512,4.9670715,4.720733,4.726379,2.3275409,2.8705056,3.3505194,6.104945,6.5049896,7.194424,4.734829,3.9044175,4.0665665,4.022089,-2.0745764,-0.4317026,0.5270839,7.784386,8.737761,10.238099,4.034867,5.55842,3.0563738,3.02899,-2.9440322,-1.3248553,-0.4930842,6.557225,7.5242753,9.351844,3.1407807,5.51628,5.0573545,4.9938574,-0.21433234,2.3386374,2.9534466,7.128911,7.526213,8.342974,2.7799999713897705
ID0,1985-06-30,6.79,3.1218998,2.0820446,0.13144873,10.4581,11.497955,13.448551,2.7435493,2.7865877,-2.4640384,-1.2347245,-0.15063429,5.663889,6.4385576,7.880743,2.7235765,5.128731,5.0563564,5.046267,1.9923376,2.8651104,3.3097253,6.8421025,7.3821063,8.176283,5.0690756,4.220626,4.7584343,4.574307,-3.3024087,-0.9169574,0.09528184,9.283571,10.59827,13.0629425,4.816846,6.497388,3.2814202,3.199475,-3.1793847,-1.098398,-0.22771382,6.8455896,7.8799276,10.054014,3.396157,5.654238,5.7156935,5.358836,1.162981,2.2267005,2.8222687,8.45799,8.817361,10.004274,2.25
ID0,1985-09-30,5.02,1.3519,0.31204453,-1.6385512,8.6881,9.727956,11.678552,2.7343147,2.7437875,-2.7152352,-1.1826954,-0.18587184,5.709319,6.5232477,8.018893,2.7066634,5.217325,4.7838106,4.849321,0.82568717,1.6690439,2.489596,6.977223,7.5768495,9.032478,4.8138995,4.5760016,3.3307834,3.3946414,-9.749195,-6.414851,-4.0828614,10.416679,12.743155,17.428272,3.123796,8.89563,4.62048,4.7262177,-2.3535533,-0.65849876,0.43327904,8.49238,9.396975,12.163824,4.788073,5.9299216,5.690859,5.8249445,0.042737484,1.4681075,3.1026018,8.830039,9.108823,11.506576,1.0199999809265137
ID1,1988-12-31,102.0,93.1443,90.633835,85.924614,110.8557,113.366165,118.075386,93.60064,93.7521,76.09767,81.81991,84.60484,102.681244,105.63803,111.0287,93.25541,94.30089,111.26478,111.31035,103.57373,105.916016,107.245285,115.22265,116.174324,118.38762,111.44107,90.38535,110.66532,110.59697,93.319496,98.7611,101.221985,119.84932,122.27806,127.372925,110.47889,94.837135,96.77924,97.15439,75.47437,81.518326,85.04182,108.38051,110.70325,117.724304,97.27051,96.19232,102.11153,103.14097,86.74943,91.090866,93.10203,109.63988,112.55991,115.74233,100.0
ID1,1989-03-31,105.0,96.1443,93.633835,88.924614,113.8557,116.366165,121.075386,91.81248,91.96804,75.794205,79.76071,82.10432,101.09835,103.52128,107.68439,92.18886,94.228004,111.96853,112.024734,101.17314,103.79059,105.657616,118.32259,120.304886,123.29805,112.11806,92.0621,118.134834,118.07335,80.29375,92.47727,97.85475,137.79251,143.38297,157.69229,117.68637,103.51289,94.74042,95.06079,61.973553,73.50635,77.7421,111.23452,116.67297,126.23465,94.602234,100.0898,99.94218,99.96185,86.55713,87.90777,90.8174,108.41946,110.347694,116.086105,101.0
ID1,1989-06-30,109.0,100.1443,97.633835,92.924614,117.8557,120.366165,125.075386,92.57105,92.69768,74.886765,80.654526,83.43296,101.83627,104.426315,108.1618,92.513374,94.2588,114.77804,114.94084,99.59668,103.82675,105.80501,123.333244,125.013565,129.27505,114.61347,93.83534,118.09263,118.54137,75.42234,85.36712,93.38299,143.26968,150.14105,163.37982,117.504166,107.01504,94.771645,94.83802,64.800186,72.09375,77.520615,112.51528,117.43182,127.79603,95.22737,100.86384,97.90323,98.2524,84.36857,86.324486,88.41911,107.901344,109.26785,111.86861,99.0
ID1,1989-09-30,110.0,101.1443,98.633835,93.924614,118.8557,121.366165,126.075386,91.61487,91.57989,71.75707,77.44178,81.094345,102.04826,104.95954,110.11435,91.95262,95.40266,115.04553,114.68408,95.46064,102.557976,104.74176,125.76644,128.82234,134.0407,114.89409,95.45594,116.99325,116.146675,66.48208,83.017914,92.13959,145.30362,151.5522,165.81238,116.88333,107.83354,101.830055,101.22508,71.050865,80.29761,84.353905,119.174255,123.77689,134.23232,101.266556,100.536934,94.60645,94.46739,78.18118,83.79707,85.173,101.90927,103.766785,115.11833,99.0
ID10,1989-06-30,169.0,146.52104,140.14856,128.19485,191.47896,197.85144,209.80515,124.487816,123.43736,32.680416,56.317574,72.39435,179.70325,195.19841,223.86066,125.00217,128.26396,134.5992,134.68753,53.71609,73.93393,87.088356,181.2475,192.41629,213.4415,133.96904,123.37697,132.10039,129.80127,40.751457,67.06331,79.631424,186.2689,200.40678,229.36273,131.8604,129.75139,93.72279,93.77538,-33.76007,5.3805847,22.4682,162.62686,188.03835,218.98914,94.73778,141.16377,146.83759,148.54103,109.09995,123.9077,128.13136,164.5622,168.89182,180.34665,190.0
ID10,1989-09-30,182.0,159.52104,153.14856,141.19485,204.47896,210.85144,222.80515,118.59674,118.87511,31.674953,54.032772,68.53292,170.79997,183.45917,207.98157,119.90766,126.92677,146.05217,144.74641,38.70128,63.851368,81.287476,212.6778,230.41446,266.1899,146.7263,138.32784,127.178986,126.75478,21.556763,50.8795,67.74376,189.32779,205.03601,222.6644,128.7061,133.33026,103.16104,104.1779,-16.00116,9.327705,33.275906,170.94,191.05396,224.34946,102.58468,141.03981,174.92133,174.67664,122.810684,135.08836,148.00737,208.03738,217.73987,225.45609,264.0
ID10,1989-12-31,152.0,129.52104,123.14856,111.19486,174.47896,180.85144,192.80515,119.66812,119.17031,39.874176,63.755527,72.04936,165.92752,179.23895,205.18002,122.831314,127.1835,134.44319,132.63806,18.34262,55.03787,71.82642,203.85587,223.05481,254.55072,134.80771,138.15576,99.08321,99.386665,-21.877281,11.592117,29.759556,163.8489,184.58667,223.82065,100.04498,140.26183,106.63115,106.97015,-13.881577,18.418549,40.99637,172.25745,193.37383,226.94507,108.4391,141.61569,157.48833,156.25443,98.27727,117.435936,124.21831,194.96364,213.01785,234.49368,247.0
ID10,1990-03-31,132.0,109.521034,103.14856,91.19486,154.47896,160.85144,172.80515,120.92914,120.88805,13.770271,47.1008,62.409607,180.46054,194.47586,222.2355,118.35758,132.76964,157.70102,156.92621,12.308624,56.44261,82.66291,237.88275,259.8268,298.87817,158.96048,146.80492,93.270485,92.92116,14.182701,38.986862,50.845127,135.98639,148.35304,171.02612,94.78083,123.02393,98.76784,98.08796,-21.64833,9.628181,31.628395,169.7002,185.6224,222.76154,99.11949,140.65556,181.59256,178.83487,105.4526,118.553085,141.10999,225.12656,239.19034,265.36023,258.0
ID100,1981-09-30,290.0,196.96423,170.58987,121.11599,383.03577,409.41013,458.884,303.9394,305.7193,173.18442,205.0619,228.4929,378.82495,396.01056,437.7951,303.74976,287.0355,311.3307,313.163,169.07626,205.87823,230.13757,391.83295,408.82275,449.85577,311.3546,288.677,331.87106,331.11133,254.33879,279.05994,289.2977,376.08188,385.16272,404.6982,331.9237,260.4386,282.28073,282.63736,64.9554,123.48232,163.79294,405.23026,433.3175,493.1855,283.97382,327.26022,315.30316,316.94617,151.86984,219.94751,242.06296,398.37527,428.1809,437.20096,48614.30078125
ID100,1981-12-31,213.1,120.06423,93.68989,44.215996,306.13577,332.51013,381.984,277.38574,277.93967,99.3031,157.16772,184.11542,368.0191,398.71844,445.9002,276.56918,304.46597,263.15045,267.24698,71.60887,126.31654,155.11447,363.83252,394.4917,447.40704,261.20145,309.26453,238.93701,237.75056,127.1795,159.90329,178.09729,297.7106,313.1587,343.52533,240.81227,276.2742,270.04257,269.24753,73.94586,119.59027,156.01057,389.30014,420.0387,473.41327,270.486,319.9112,218.21756,215.6504,26.389252,97.7225,115.33716,324.93585,361.55182,421.94128,39717.5
ID100,1982-03-31,337.5,244.46423,218.08987,168.616,430.53577,456.91013,506.384,259.79672,258.8145,82.884,141.17871,167.23659,354.36108,379.83282,421.13318,259.1133,298.45908,287.00287,286.17654,106.507195,158.86026,192.77925,387.6965,413.18536,480.41315,284.42538,308.27652,336.616,336.08752,248.71889,271.37775,286.31717,386.8332,402.49518,433.2,336.5667,267.45374,263.06445,261.10403,94.10014,138.22319,162.91646,364.11298,403.2633,465.5113,262.2492,306.56952,285.80383,288.36154,0.80262756,158.84964,186.86992,385.3848,428.61566,502.35803,45665.1015625
ID100,1982-06-30,343.3,250.26422,223.88986,174.41599,436.33575,462.7101,512.184,238.61615,238.27412,92.800095,137.24051,158.00113,314.68436,337.72476,382.85205,236.77951,287.62296,338.7799,337.19785,136.84496,197.6933,227.8843,450.221,484.97974,557.2089,340.65308,321.1276,328.81357,328.93164,173.14815,217.4613,243.93823,413.0913,438.86627,483.81476,327.26495,297.7852,294.61548,295.31335,92.54588,139.16896,173.56541,410.01608,441.59106,497.29523,292.17407,321.7845,300.8324,291.8763,146.58221,186.48392,202.07217,400.32205,449.74628,523.1059,38440.69921875
