Model_Percentile,AUC,LogLoss
AutoMLP_90,0.9299335916133183,0.5464396965235851
AutoNHITS_90,0.91715545809259,0.5553781470384923
AutoLSTM_90,0.919593333812098,0.5578115619121887
AutoGRU_90,0.9105213329341726,0.5566918283651804
AutoMLP_95,0.9336990835568132,0.5241021884883249
AutoNHITS_95,0.9208690447571447,0.5329940201087061
AutoLSTM_95,0.9220409770737601,0.5335884615385296
AutoGRU_95,0.9107286653260586,0.5287710656759901
AutoMLP_99,0.9338330563329102,0.48384828568518573
AutoNHITS_99,0.9231183760030698,0.4915700057649325
AutoLSTM_99,0.9257003786345792,0.49011086611805127
AutoGRU_99,0.9123396960385017,0.48044772807738406
