Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.9009144228455324,0.39151431306520024
AutoMLP_90,0.9462602967499762,0.28126097944359607
AutoNHITS_90,0.9498607489622045,0.26856245609147145
AutoLSTM_90,0.9408035438033419,0.291768528349278
AutoGRU_90,0.9416316758743191,0.2984879225888177
SeasonalNaive_95,0.8953460532734717,0.38715870606857117
AutoMLP_95,0.9463829840226148,0.26649849621328187
AutoNHITS_95,0.9508047811143183,0.2536128648906409
AutoLSTM_95,0.9411608862416029,0.278471343344982
AutoGRU_95,0.9418230348531041,0.2858240009421296
SeasonalNaive_99,0.8850582057866999,0.35848429881166516
AutoMLP_99,0.9387588906105803,0.26944580609957314
AutoNHITS_99,0.9433393748218981,0.24628554153103646
AutoLSTM_99,0.93284189565721,0.25942970114061503
AutoGRU_99,0.9267429057505767,0.27031434530630966
