Model_Percentile,AUC,LogLoss
AutoMLP_90,0.7208911461195668,0.6681444212236834
AutoNHITS_90,0.7814618516515475,0.6282209786700306
AutoLSTM_90,0.8247497569217178,0.6295596008891746
AutoGRU_90,0.8358759929037176,0.6305509062743145
AutoMLP_95,0.7046016581153766,0.6598383813445208
AutoNHITS_95,0.7803640808900724,0.6320548044285145
AutoLSTM_95,0.8200799185019437,0.6276863499676237
AutoGRU_95,0.8267767656480162,0.6289662570088601
AutoMLP_99,0.6770181565916322,0.6406711785221928
AutoNHITS_99,0.7619524316436619,0.6338066161715871
AutoLSTM_99,0.7952728871133652,0.621392343392483
AutoGRU_99,0.799010657129871,0.6225203552178343
