unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
Q1,1992-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5620.5664,4748.062,4997.2573,5246.32,5958.8774,6060.073,6287.314,5761.9463,3349.3398,5103.5405,5524.2573,5945.0317,5942.096,6720.1377,5611.254,5260.9937,5440.8823,5493.028,5726.9316,5784.711,5816.7573,5490.5264,4678.3745,5061.8604,5209.5327,5834.225,5947.5884,6243.331,5592.15
Q1,1992-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5910.0986,4640.0093,5174.8643,5370.0464,6294.364,6432.967,6781.631,5839.978,3110.0962,4963.251,5461.765,6176.631,6284.0527,7403.429,5644.096,5198.311,5449.937,5514.171,5786.241,5870.1406,5999.255,5485.9893,4387.878,4779.6406,4948.1846,6178.7324,6363.54,6861.6846,5481.6
Q1,1992-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5649.1064,4374.1294,4936.047,5138.1074,6186.456,6336.375,6749.9355,5900.4834,2970.1611,5030.1855,5230.402,6532.828,6893.267,7730.088,5680.3735,5062.4355,5404.3267,5506.4883,5863.7114,5989.703,6212.458,5448.926,4381.964,4886.0576,5038.4883,6002.9556,6184.2812,6598.6367,5511.55
Q1,1993-03-31,5551.25,4043.1992,3615.6877,2813.7476,7059.301,7486.812,8288.753,5590.8325,4389.678,4881.276,5049.858,6083.548,6347.8535,6528.3867,5958.5044,3183.3994,4908.148,5459.679,6550.497,6736.116,8148.9473,5742.571,5002.6074,5388.656,5508.2695,5981.255,6119.6016,6410.3647,5683.62,4594.6143,5060.9717,5231.4697,6243.126,6389.374,6850.6553,5531.5
Q1,1993-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5645.3213,4336.745,4855.2036,5170.4185,6174.656,6303.8433,6939.0625,5911.0576,2714.9402,4787.9185,5247.092,6556.367,7230.85,9072.01,5901.6978,4978.7754,5435.8345,5585.4707,6200.9746,6361.009,6700.3833,5524.3623,4304.5767,4829.273,4989.1636,6168.8115,6362.1636,6890.0684,5670.6
Q1,1993-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5903.098,4073.5286,4920.3076,5128.259,6344.2275,6587.83,7012.0776,6053.8022,2825.3813,4666.193,5448.708,7170.1616,7446.915,9066.343,5972.2627,4842.7256,5396.04,5578.6562,6313.8833,6510.536,6926.041,5455.133,4140.466,4621.5327,4860.3115,6055.0312,6213.094,6687.183,5730.0
Q1,1993-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5689.0005,4246.7524,4714.7134,4844.191,6299.4927,6316.008,6620.122,6022.129,2299.539,4726.0723,5277.4,7216.7744,7704.997,9943.961,6008.8027,4805.4717,5402.825,5592.6606,6406.455,6625.4326,7105.6787,5677.4854,4123.7334,4655.5864,4913.322,6429.6104,6591.209,7164.9883,5798.45
Q1,1994-03-31,5551.25,4043.1992,3615.6877,2813.7476,7059.301,7486.812,8288.753,5607.7686,4177.3,4567.2715,4844.0376,6166.29,6340.3496,6751.1357,6098.876,2433.9946,4756.2466,5293.1562,7629.0312,7792.878,10014.52,6077.831,4735.8833,5366.073,5576.513,6497.951,6719.4175,7217.2676,5690.172,4128.3896,4722.0566,4967.314,6551.704,6763.834,7460.66,5809.05
Q1,1994-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5583.6475,4039.293,4740.393,4892.1416,6312.0225,6476.476,7225.7627,6250.2456,1984.492,4523.5625,5323.468,7441.9766,8039.343,10382.135,6206.837,4765.579,5400.6074,5656.1313,6640.0215,6872.9785,7404.834,5707.534,3324.2446,4174.294,4623.326,6852.166,7160.529,8249.09,5707.05
Q1,1994-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5712.1396,3824.0066,4826.364,4918.164,6420.7393,6738.0957,7303.401,6408.749,2092.156,4715.909,5441.3105,8048.3203,8434.188,10301.184,6273.0884,4801.5977,5449.991,5724.003,6691.0635,6934.5073,7500.749,5693.3003,2286.5203,3771.7832,4329.204,6933.3945,7252.7686,8354.756,5661.75
Q1,1994-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5591.1035,3954.039,4572.3804,4756.2183,6211.4956,6429.693,7256.507,6489.1265,2005.9243,4299.733,5413.5684,8029.9375,8728.677,10636.531,6335.3477,4875.8936,5433.3716,5725.274,6771.5806,7001.867,7480.355,5725.1523,2812.3794,3831.8835,4421.819,6953.6816,7258.659,8455.724,6176.6
Q10,1992-06-30,6497.12,4916.085,4467.8833,3627.1316,8078.1553,8526.357,9367.108,6576.417,4662.6714,5286.349,5719.404,7259.929,7353.468,7620.928,6940.724,4587.2354,6224.607,6414.123,7129.4507,7298.8325,7800.3438,6742.267,5094.3667,5804.2935,6094.0933,7419.8696,7655.205,8371.502,6401.797,4516.5747,5390.535,5654.5605,7233.538,7367.0645,7780.838,6731.2
Q10,1992-09-30,6749.64,5168.605,4720.4033,3879.6516,8330.676,8778.877,9619.629,6741.661,4176.3164,5388.258,5691.2593,7328.7026,7478.9883,8011.3184,7074.6567,4254.612,6281.137,6480.734,7509.8506,7724.201,8872.529,6757.075,4190.523,5255.921,5675.997,7797.547,8174.83,9201.412,6284.458,4168.096,5082.9453,5386.7427,7113.2354,7211.1113,7573.896,6984.68
Q10,1992-12-31,6807.62,5226.585,4778.3833,3937.6316,8388.655,8836.857,9677.608,6403.112,3878.582,5061.688,5377.8066,7318.704,7553.6753,7999.1875,7227.581,4294.094,6264.77,6504.1426,8067.0566,8752.762,9306.101,6599.7935,3530.9978,4796.8506,5261.139,7882.427,8354.496,9544.279,6312.093,3644.6396,4834.583,5231.5903,7179.128,7311.4697,7853.3516,6820.5
Q10,1993-03-31,6707.04,5126.005,4677.803,3837.0515,8288.075,8736.277,9577.028,6337.6807,3887.9272,4900.962,5251.671,7169.6914,7556.263,7738.2036,7400.9033,4509.1177,6320.597,6854.903,8148.574,8530.904,9725.877,6638.295,3333.252,4696.9497,5191.892,8038.133,8560.3125,9850.215,5877.4897,3395.8413,4256.2637,4660.2812,7354.0967,7682.127,8917.959,6729.34
Q10,1993-06-30,6497.12,4916.085,4467.8833,3627.1316,8078.1553,8526.357,9367.108,5890.5986,3176.61,4148.549,4812.9253,6667.1943,7009.4536,8012.923,7710.7344,3959.0393,6336.4873,6742.057,8559.209,9625.856,11580.932,7051.8633,3012.2666,4598.969,5180.4883,8796.238,9417.188,10965.343,5601.1904,2491.1338,3558.8206,3995.63,7550.6973,7937.9814,9440.109,6675.46
Q10,1993-09-30,6749.64,5168.605,4720.4033,3879.6516,8330.676,8778.877,9619.629,5966.11,2632.9954,4003.9526,4351.7266,6656.798,7089.837,7884.8916,7930.8555,4222.1333,6307.5547,6889.882,9137.137,9675.725,11311.549,7038.6626,2361.4512,4124.9746,4804.842,9173.474,9891.598,11714.463,5684.1,2425.0527,3597.0415,4036.4995,7921.6455,8442.074,10272.931,7142.94
Q10,1993-12-31,6807.62,5226.585,4778.3833,3937.6316,8388.655,8836.857,9677.608,5572.5693,2987.7075,3712.977,4089.298,6631.1123,6816.5967,7330.9805,8070.7383,3564.7817,6212.021,6841.7554,9368.556,10160.6455,12768.076,6885.0137,1675.498,3663.4148,4316.738,9366.914,10174.435,12166.309,6017.0044,1576.6035,3279.925,3993.79,8645.839,9417.1045,12258.248,7308.06
Q10,1994-03-31,6707.04,5126.005,4677.803,3837.0515,8288.075,8736.277,9577.028,5508.905,2983.5322,3504.896,4029.6973,6498.4185,6916.3447,7388.699,8286.548,3620.1765,6402.2383,7021.498,10276.959,10661.255,12911.123,6909.549,1283.8931,3477.1543,4223.012,9537.189,10451.531,12727.086,5441.042,1050.3884,2389.3271,3142.8013,8365.684,8910.529,10955.705,7525.5
Q10,1994-06-30,6497.12,4916.085,4467.8833,3627.1316,8078.1553,8526.357,9367.108,5042.4473,2347.548,3610.04,3826.729,6309.425,6642.7256,7787.1016,8565.602,3005.8335,6121.544,7056.9766,9991.203,10739.74,13294.779,7514.533,1326.009,3653.0989,4514.249,10435.247,11409.791,13923.785,5648.3037,573.88135,2420.5186,3156.6558,8742.779,9293.384,11223.994,7893.78
Q10,1994-09-30,6749.64,5168.605,4720.4033,3879.6516,8330.676,8778.877,9619.629,4897.1416,1650.1863,3323.2773,3437.939,6231.411,6775.2935,7810.235,8706.441,3056.881,6374.5415,7155.0293,10433.557,11352.532,13074.926,7503.3384,1087.1802,3480.9712,4370.975,10722.023,11752.347,14348.004,5324.703,1463.3147,3209.291,3563.107,9684.795,10727.45,12931.447,8223.88
Q10,1994-12-31,6807.62,5226.585,4778.3833,3937.6316,8388.655,8836.857,9677.608,4731.0425,2277.25,3139.7036,3355.099,5986.7227,6453.663,7737.9453,8908.981,3124.9924,5682.8984,7027.539,10626.708,11599.949,13613.223,6482.256,473.09644,2863.5317,3753.9426,9656.085,10739.302,13322.52,4828.4927,1089.5498,3023.355,3376.667,9645.729,10696.014,13206.092,8904.28
Q100,1992-06-30,3372.0,2771.3672,2601.0962,2281.696,3972.6328,4142.904,4462.304,3426.8044,3079.26,3183.6567,3265.9421,3563.0522,3597.148,3645.0588,3510.1577,2589.6775,3223.8389,3352.5884,3580.13,3648.8123,3883.1318,3461.7283,3076.167,3263.1145,3333.0276,3584.9336,3653.82,3769.8943,3499.1494,3106.1292,3287.3813,3322.65,3744.8066,3789.4458,3934.6978,3734.0
Q100,1992-09-30,3398.0,2797.3672,2627.0962,2307.696,3998.6328,4168.904,4488.304,3537.2693,3051.725,3266.9336,3328.6729,3668.4463,3712.8022,3826.2725,3549.4832,2479.3748,3175.3875,3337.9224,3694.6394,3790.5474,4157.2383,3464.5464,2976.3923,3218.0664,3302.9846,3621.5833,3706.897,3877.8618,3371.155,2952.8694,3126.1848,3191.0012,3586.559,3622.6235,3752.714,3784.0
Q100,1992-12-31,3504.0,2903.3672,2733.0962,2413.696,4104.633,4274.904,4594.304,3552.192,3091.0444,3292.126,3359.4436,3758.75,3797.238,3914.5955,3552.4194,2419.2415,3162.7085,3237.1987,3832.2334,4046.8955,4284.2803,3517.693,2946.1484,3219.062,3312.7446,3700.0862,3795.9067,4002.8906,3483.8933,3015.2905,3258.6284,3295.7842,3755.457,3816.5698,4016.972,3974.0
