Model_Percentile,AUC,LogLoss
AutoMLP_90,0.9271867262259481,0.5492280073126622
AutoNHITS_90,0.9297263597900468,0.5494111567136872
AutoLSTM_90,0.9166626650682296,0.5564567320158231
AutoGRU_90,0.9178009031765698,0.5560918591454013
AutoMLP_95,0.9305734625915645,0.5266455407203964
AutoNHITS_95,0.9335910322195349,0.5274673534638972
AutoLSTM_95,0.9180772391431586,0.5299982354122752
AutoGRU_95,0.9198124393924381,0.5312237800798627
AutoMLP_99,0.9308620539175759,0.48549836217429043
AutoNHITS_99,0.9340540837955297,0.4876727872369127
AutoLSTM_99,0.922767596441988,0.48312624858783043
AutoGRU_99,0.9245167487834992,0.48725158930551254
