Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.9009144228455324,0.39151431306520024
AutoMLP_90,0.9476131530715699,0.27599426449419684
AutoNHITS_90,0.9520161755517649,0.26509329617888516
AutoLSTM_90,0.9397258037462791,0.32595216625767476
AutoGRU_90,0.9394068738020439,0.2930516946810264
AutoDeepAR_90,0.9161688780162316,0.3867586475631373
SeasonalNaive_95,0.8953460532734717,0.38715870606857117
AutoMLP_95,0.9479083758499948,0.26286554577271276
AutoNHITS_95,0.9529085673847801,0.2508251121741253
AutoLSTM_95,0.9402227887952015,0.3187601509816156
AutoGRU_95,0.9419788006863308,0.2738250036884351
AutoDeepAR_95,0.9132705620375079,0.41395099837214666
SeasonalNaive_99,0.8850582057866999,0.35848429881166516
AutoMLP_99,0.9464929065895832,0.2360384714228333
AutoNHITS_99,0.9517743086441596,0.22441964819314544
AutoLSTM_99,0.9397757024424839,0.284760734108847
AutoGRU_99,0.943034318446749,0.24044741405080186
AutoDeepAR_99,0.9018055143444792,0.4730149903573616
