Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.9009144228455324,0.39151431306520024
AutoMLP_90,0.9378337884599349,0.30762758021177444
AutoNHITS_90,0.9494167802656054,0.27399921923141723
AutoLSTM_90,0.9377254989926983,0.32445044219754454
AutoGRU_90,0.9395030039209342,0.31362226136005433
SeasonalNaive_95,0.8953460532734717,0.38715870606857117
AutoMLP_95,0.9365483786534039,0.29437112132126186
AutoNHITS_95,0.9494716854736228,0.26080159732998925
AutoLSTM_95,0.9378326817089829,0.3168744151160162
AutoGRU_95,0.9387556031515026,0.3070031330654508
SeasonalNaive_99,0.8850582057866999,0.35848429881166516
AutoMLP_99,0.9250676928668218,0.28009470406171355
AutoNHITS_99,0.9458732174076356,0.25013885549057124
AutoLSTM_99,0.9256595291683252,0.2946116578999346
AutoGRU_99,0.9207021653444886,0.28958829457336127
