Model_Percentile,AUC,LogLoss
AutoMLP_90,0.8312725640057551,0.6101755660394707
AutoNHITS_90,0.8226490940869657,0.6070272667468264
AutoLSTM_90,0.8235835059541423,0.6216270520309461
AutoGRU_90,0.8371053932037207,0.626089358395293
AutoMLP_95,0.8290066565193324,0.6132844489071768
AutoNHITS_95,0.820733553093881,0.6104842255744874
AutoLSTM_95,0.8169237029588639,0.6215346642384066
AutoGRU_95,0.8268468909136112,0.6231976813754452
AutoMLP_99,0.8084859938281941,0.6151935348194972
AutoNHITS_99,0.8008623782982083,0.6137684745013391
AutoLSTM_99,0.7920218046551682,0.6199019911345796
AutoGRU_99,0.7967380929598354,0.6159519434939378
