Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.8166189742460929,0.5368684251778947
AutoMLP_90,0.867643314144605,0.5005011008223741
AutoNHITS_90,0.8662510550399203,0.49604033352608407
AutoLSTM_90,0.848342417488225,0.5804769932510763
AutoGRU_90,0.8517356882650406,0.5289854505494128
AutoDeepAR_90,0.8116826848087371,0.6323786940891705
SeasonalNaive_95,0.7797613623325608,0.5730559833123574
AutoMLP_95,0.8606691975407325,0.5122159111343987
AutoNHITS_95,0.8596873859632709,0.5091866415827259
AutoLSTM_95,0.8411963601747046,0.5924996083671219
AutoGRU_95,0.8454004045626089,0.5526914726118926
AutoDeepAR_95,0.8002084606595814,0.6495406357505182
SeasonalNaive_99,0.7316107994641533,0.603857252985896
AutoMLP_99,0.8309850967633903,0.5514926270819074
AutoNHITS_99,0.8311289859579456,0.5567422580067402
AutoLSTM_99,0.8135893057914504,0.6411723928960031
AutoGRU_99,0.8199247362629478,0.6067008130185044
AutoDeepAR_99,0.7592970600196158,0.6803382504426903
