unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
Q1,1992-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5473.8594,4654.5938,5109.614,5165.5293,5800.5654,6120.846,6595.2812,5353.327,2772.912,3255.6982,3786.0854,6292.2373,6731.3877,7178.4194,5620.1724,5288.778,5441.9707,5477.6665,5743.8784,5810.526,6053.1084,5754.84,5383.3906,5598.4883,5638.0117,5918.4336,5947.7134,6169.911,5592.15
Q1,1992-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5491.147,4685.5635,5080.028,5107.0376,5956.1895,6180.36,6431.6904,5443.9795,2379.82,3208.9526,3762.426,6595.4346,6764.7734,7916.448,5651.266,5083.733,5347.2637,5410.7373,5867.3076,5959.991,6252.4414,5626.0894,5203.382,5401.9272,5452.9424,5794.5396,5856.797,6086.9307,5481.6
Q1,1992-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5518.7407,4815.105,5080.692,5113.89,6119.9976,6258.8228,6680.631,5493.191,2485.958,3114.7693,3698.5273,6748.832,7048.1865,8381.789,5714.8276,4763.4385,5149.963,5312.271,5985.149,6149.8223,6566.7456,5737.536,5197.42,5502.807,5571.719,5920.806,5990.543,6211.505,5511.55
Q1,1993-03-31,5551.25,4043.1992,3615.6877,2813.7476,7059.301,7486.812,8288.753,5732.3467,4748.4097,5154.619,5243.009,6133.704,6319.2793,6655.214,5674.7065,2455.3674,3260.5776,3927.8945,6942.157,7201.4043,8647.576,5757.933,4665.328,5160.7344,5320.352,6020.1445,6208.6465,6755.1895,5686.396,4922.2935,5287.642,5426.309,5981.454,6099.148,6387.8906,5531.5
Q1,1993-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5702.7534,4395.756,5058.344,5181.6978,6045.62,6291.4116,7100.7656,5779.6357,2297.5051,3131.8926,3904.2708,7327.7314,7798.1733,9342.506,5775.545,4726.4824,5193.7676,5399.049,6128.65,6298.709,6840.004,5832.4287,4909.7856,5398.219,5563.0264,6143.213,6265.769,6619.722,5670.6
Q1,1993-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5646.9785,4465.138,4831.2896,5009.3853,6234.1484,6386.279,6579.4834,5825.918,2025.5059,3262.5635,3739.4507,7643.1875,7955.7056,9827.818,5820.9355,4537.42,5095.0146,5354.8154,6206.1313,6434.406,7193.8877,5684.842,4306.6807,4915.736,5156.846,6145.922,6307.536,6823.3955,5730.0
Q1,1993-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5670.699,4263.4233,4816.524,5005.91,6326.6763,6501.7544,6791.38,5961.4194,2123.38,3193.787,3715.0232,7742.0137,8429.574,10018.461,5979.079,4229.2065,5089.4453,5355.7817,6517.951,6812.9043,7765.7417,5891.418,4413.7686,5121.793,5392.5747,6345.137,6482.444,7075.1055,5798.45
Q1,1994-03-31,5551.25,4043.1992,3615.6877,2813.7476,7059.301,7486.812,8288.753,5757.2476,4025.6746,4817.154,5108.3467,6408.3457,6495.1543,6851.9688,5927.8994,1929.2119,3165.6035,3994.2686,7940.243,8471.405,9825.099,6076.155,4315.014,5227.2734,5550.901,6654.2334,6984.43,8289.167,5957.824,3947.2583,4876.585,5241.4907,6548.6367,6768.21,7560.124,5809.05
Q1,1994-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5710.05,4304.2285,4711.5796,5057.802,6449.2793,6608.4355,6642.5127,6180.828,1995.7139,3199.1577,3790.6387,8251.369,8883.805,10427.289,6245.967,4276.7534,5350.9014,5693.995,6862.955,7168.6387,8790.006,6134.3,4359.401,5226.1743,5525.453,6737.5835,6923.5635,7683.1167,5707.05
Q1,1994-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5563.759,4247.419,4615.6226,4863.363,6219.2803,6460.1895,6624.6934,6224.987,1917.9382,2975.2983,3810.09,8578.375,8990.309,10900.875,6285.661,4350.88,5476.956,5877.003,6891.1426,7111.3193,8782.875,6097.3496,4133.5684,5028.0225,5394.5493,6696.0166,6906.9844,7720.9307,5661.75
