unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
m1,2022-11-30,6611.115,6303.386,6216.1494,6052.508,6918.844,7006.081,7169.7227,6829.042,4011.5571,5164.3325,5335.2515,7919.9307,7968.044,8755.406,6060.251,3288.806,3958.4224,4429.315,7590.921,8664.474,10732.964,7135.9404,3807.092,4938.6943,5435.251,8717.565,9292.133,10474.002,7485.534,3010.0234,4609.343,5353.262,10152.282,11016.098,13265.544,6857.8
m1,2022-12-31,4150.2393,3842.5105,3755.2737,3591.6318,4457.9683,4545.205,4708.8467,4362.6904,3196.8816,3513.8457,3670.8203,4989.218,5608.517,6831.3105,4092.4,1851.473,2452.3132,3103.0527,5375.6436,6358.8916,7493.676,4917.4424,2959.4497,3673.678,3957.8682,6015.5054,6345.7285,7171.876,6088.116,2450.5645,3685.7651,4364.8125,8201.248,9074.205,10730.274,4346.09
m1,2023-01-31,2841.0,2533.2712,2446.0344,2282.3926,3148.7288,3235.9656,3399.6074,2952.4023,2077.6682,2516.709,2640.7703,3483.9834,3577.857,4969.1885,2961.3855,813.81665,1386.3367,1778.9968,3696.8716,4722.665,6715.7793,3551.2827,2268.3904,2665.5908,2880.9316,4446.278,4671.064,5365.417,3932.5728,2150.4663,2502.9333,2813.5828,5424.3438,5820.252,7098.0107,3154.73
m1,2023-02-28,1813.44,1505.7112,1418.4744,1254.8325,2121.1687,2208.4055,2372.0474,2087.6768,1829.5559,1932.8271,2161.3901,2586.4949,2726.4102,3289.2273,2465.7383,61.10205,1085.7147,1292.026,2966.3923,3855.4438,5086.034,2914.8372,1773.2863,2194.545,2367.4204,3711.2153,3974.1562,4675.1567,2195.6067,1324.1229,1512.7012,1729.4817,2909.887,3235.0425,3868.8457,2142.21
m1,2023-03-31,2261.08,1953.3513,1866.1145,1702.4727,2568.8088,2656.0457,2819.6875,2140.3293,1310.9849,1529.065,1817.5962,2257.213,2372.776,2639.96,2226.5098,255.64355,882.8511,1290.3304,3024.8782,3912.685,5982.6543,2169.331,1313.93,1618.7806,1748.1794,2800.2146,3048.2332,3732.2705,1808.1292,1226.801,1385.4991,1449.3883,2317.3992,2701.8398,3284.9797,2375.725
m1,2023-04-30,1873.605,1565.8762,1478.6394,1314.9976,2181.3337,2268.5706,2432.2124,1732.5764,1005.33606,1391.1903,1472.6803,2135.0972,2482.2712,2774.203,2168.081,680.3812,1061.9042,1384.7441,3070.6428,4149.8394,5988.8076,1975.3539,1208.4081,1513.8931,1632.21,2572.0808,2794.58,3486.4382,2081.8523,1379.8997,1533.1976,1687.1611,2734.558,3159.4614,4014.2656,1981.11
m1,2023-05-31,1772.84,1465.1112,1377.8744,1214.2325,2080.5688,2167.8057,2331.4475,1750.881,817.5637,1354.7146,1509.1787,2105.791,2200.3926,3004.8452,1694.6584,-239.46533,500.40088,914.1394,2420.226,3185.2961,4857.5605,2105.9285,1324.7482,1602.6067,1711.2574,2703.7136,2917.3242,3623.3848,2029.727,1306.695,1426.3302,1619.5667,2640.6763,2988.71,3655.147,1959.865
m1,2023-06-30,2049.565,1741.8362,1654.5994,1490.9575,2357.2937,2444.5305,2608.1724,2112.4775,1459.9662,1590.6652,1736.362,2484.9612,2620.3657,3499.9736,1668.1969,115.04712,649.192,1039.1808,2446.3384,3299.7349,4175.142,2018.2832,1212.3862,1544.071,1608.6494,2605.0361,2834.345,3507.1165,2198.6465,1427.4738,1643.381,1735.0383,2908.6626,3289.0686,3874.8252,2466.31
m1,2023-07-31,2932.265,2624.5361,2537.2993,2373.6575,3239.9937,3327.2305,3490.8723,2702.6575,1738.0371,2291.8752,2421.019,3313.9104,3623.1133,4021.7654,2804.357,1231.1178,1588.3103,2040.3301,3563.7085,4521.574,6681.1953,2877.643,1726.846,2132.9824,2307.4226,3608.291,3849.8955,4500.435,3215.3828,1956.9277,2428.2256,2533.5474,4041.5068,4460.9893,5422.419,2851.715
m1,2023-08-31,3113.255,2805.5261,2718.2893,2554.6475,3420.9836,3508.2205,3671.8623,3213.8733,1696.0452,2379.5444,2553.991,3746.814,3888.755,4706.1265,3443.8906,1467.1008,1732.4656,2360.1792,4339.081,5125.4062,7069.1357,2841.484,1881.9417,2258.314,2411.3713,3519.35,3701.682,4271.1055,3850.6704,2301.9375,2832.0703,3158.5327,4669.5566,5244.6924,5769.0786,3671.805
m1,2023-09-30,3461.505,3153.7761,3066.5393,2902.8975,3769.2336,3856.4705,4020.1123,3635.894,2262.4468,2731.339,3044.125,4354.301,4647.6055,6312.082,3213.494,1422.2056,1942.1511,2461.926,4458.644,5246.5107,6832.2285,3503.608,2323.008,2748.3325,2946.2253,4298.687,4527.169,5183.896,4186.088,2117.4893,3018.0852,3398.6943,5314.287,5672.4766,6765.245,3806.78
m1,2023-10-31,6265.74,5958.011,5870.7744,5707.133,6573.469,6660.706,6824.3477,6217.1035,3434.783,4110.5244,4943.1924,7386.328,7827.046,8668.579,6796.21,2321.875,4022.2134,4906.9795,8440.878,9315.737,11480.439,6335.0293,3476.8118,4518.646,4980.53,7411.631,7802.044,8625.31,7665.7324,2864.593,4918.9287,5841.709,9339.101,10064.479,11430.568,6995.05
m10,2022-11-30,24135.0,15374.389,12890.878,8232.223,32895.61,35379.12,40037.777,28942.77,18822.344,22423.139,24428.164,34010.426,35035.258,38492.234,29419.883,16453.275,21298.977,22541.697,37324.15,41323.812,49814.78,28626.02,18935.447,21910.979,23279.541,35557.89,38095.523,44543.137,32812.53,18047.79,22322.611,24011.566,46408.62,52238.727,67465.79,185953.0
m10,2022-12-31,28869.0,20108.389,17624.877,12966.223,37629.61,40113.12,44771.777,28496.902,18712.367,22868.588,24574.62,33930.12,35918.766,43435.43,31088.938,17038.791,21725.77,23367.932,38042.37,40357.156,52547.203,28627.45,17800.078,21361.834,22882.822,35921.277,38822.4,45577.406,32669.848,17810.072,21925.107,24130.803,46495.992,52392.246,68026.86,171384.6
