SeasonalNaive_90,SeasonalNaive_prob_90,AutoMLP_90,AutoMLP_prob_90,AutoNHITS_90,AutoNHITS_prob_90,AutoLSTM_90,AutoLSTM_prob_90,AutoGRU_90,AutoGRU_prob_90,AutoDeepAR_90,AutoDeepAR_prob_90,SeasonalNaive_95,SeasonalNaive_prob_95,AutoMLP_95,AutoMLP_prob_95,AutoNHITS_95,AutoNHITS_prob_95,AutoLSTM_95,AutoLSTM_prob_95,AutoGRU_95,AutoGRU_prob_95,AutoDeepAR_95,AutoDeepAR_prob_95,SeasonalNaive_99,SeasonalNaive_prob_99,AutoMLP_99,AutoMLP_prob_99,AutoNHITS_99,AutoNHITS_prob_99,AutoLSTM_99,AutoLSTM_prob_99,AutoGRU_99,AutoGRU_prob_99,AutoDeepAR_99,AutoDeepAR_prob_99
0,6.661338147750939e-16,0,0.0,0,1.7460477508279837e-12,0,0.1762569297725941,0,0.0,0,0.0,0,0.0,0,0.0,0,1.1102230246251565e-16,0,0.11051658338616821,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.055361478691898225,0,0.0,0,0.0
0,0.0,0,0.0,0,6.128431095930864e-14,0,0.32494993073404177,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.26195465617424996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.21935254722945308,0,0.0,0,0.0
0,2.3294133288942476e-10,0,4.14792644676254e-10,0,6.183478641563767e-06,0,0.3623964910810483,0,4.053056223973783e-09,0,3.980149543281186e-13,0,3.11972669919669e-14,0,2.0827783941967937e-13,0,2.135553045512495e-08,0,0.2997558349154714,0,1.723066134218243e-13,0,0.0,0,0.0,0,0.0,0,1.255790238463561e-08,0,0.2590990641278099,0,9.325873406851315e-15,0,0.0
1,0.9281625079686908,1,0.8981721903919226,1,0.7856818964505453,0,0.21179530229143628,1,0.7481792996058331,1,0.9258196461196666,1,0.5750578184124725,1,0.6003706057362769,1,0.5551410184925005,0,0.17019811748592972,0,0.48297242153052433,1,0.6725053636669679,0,0.2690467652260412,0,0.3410397117503049,0,0.42908411766014387,0,0.16254339326326628,0,0.29453171043091175,0,0.44451279434646596
0,6.661338147750939e-16,0,0.0,0,7.698745736473001e-07,0,0.2047620839760822,0,0.0,0,0.0,0,0.0,0,0.0,0,1.4882042376207494e-08,0,0.14850077880985246,0,0.0,0,0.0,0,0.0,0,0.0,0,1.693262752233693e-09,0,0.1352972164367343,0,0.0,0,0.0
0,0.0,0,0.0,0,1.3067041892966813e-09,0,0.24631934052175164,0,0.0,0,0.0,0,0.0,0,0.0,0,3.1913360842850125e-12,0,0.17958287126661465,0,0.0,0,0.0,0,0.0,0,0.0,0,2.1649348980190553e-13,0,0.1431957476992589,0,0.0,0,0.0
0,2.3294133288942476e-10,0,3.511719854909501e-07,0,0.0023279142887205895,0,0.4008746010663138,0,4.737418102473967e-06,0,5.762415222765327e-08,0,3.11972669919669e-14,0,3.797727687882002e-10,0,0.0001261468342595995,0,0.3388165853672709,0,8.307896037784701e-09,0,6.841027744286521e-11,0,0.0,0,1.0349165968648322e-11,0,2.784456364324228e-05,0,0.27364288074663623,0,8.581874100244136e-10,0,2.206457239140036e-12
1,0.9281625079686908,1,0.8052348073288862,1,0.8571736462264596,0,0.23311410047771264,1,0.7897154551467952,1,0.8631893356605526,1,0.5750578184124725,1,0.5959987152687383,1,0.7510662849139678,0,0.18773246683609224,1,0.5920156309044009,1,0.6491544377390852,0,0.2690467652260412,0,0.44371287884542476,1,0.6274281836084182,0,0.16514651042556738,0,0.4969845343202912,1,0.7523717307210889
0,6.661338147750939e-16,0,0.0,0,0.00035513168809708784,0,0.25842259701219306,0,0.0,0,0.0,0,0.0,0,0.0,0,2.637674065320006e-05,0,0.2196864370144791,0,0.0,0,0.0,0,0.0,0,0.0,0,1.7627476780468498e-06,0,0.2380441969767063,0,0.0,0,0.0
0,0.0,0,0.0,0,6.320230054424059e-06,0,0.39229522174466547,0,0.0,0,0.0,0,0.0,0,0.0,0,1.7897922666154642e-07,0,0.3220068890883443,0,0.0,0,0.0,0,0.0,0,0.0,0,2.593149672769357e-08,0,0.25145917757203096,0,0.0,0,0.0
0,2.3294133288942476e-10,0,1.960103410914016e-06,0,0.0378495364042275,0,0.42736524266143316,0,7.277162075725041e-05,0,3.6238824606682485e-06,0,3.11972669919669e-14,0,9.714047122244551e-09,0,0.00798296695176548,0,0.388396376281839,0,1.0400454250047986e-06,0,9.503801079446816e-09,0,0.0,0,5.294409355371954e-11,0,0.006041420025998945,0,0.34558402084852424,0,2.401044119082485e-08,0,2.7167280449713616e-06
1,0.9281625079686908,1,0.7749724887264664,1,0.8870601401876871,0,0.35492654947132807,1,0.8582692715476836,1,0.7374272505121768,1,0.5750578184124725,1,0.5920282552450601,1,0.8074782735732299,0,0.3028037136970638,1,0.7132664129243651,1,0.6610301306311834,0,0.2690467652260412,1,0.5084094166155451,1,0.7683765490237711,0,0.22865575076653644,1,0.6096418059286428,1,0.6136551786931745
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
