unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
q1,2020-12-31,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7054.711,4880.762,5542.3477,6008.2656,9028.764,9914.1045,12001.592,7006.8413,5828.0234,6017.7744,6313.586,8025.152,8816.819,10066.054,7831.6626,5461.244,6426.1943,6827.678,8820.303,9108.815,10174.68,6163.6934,4690.273,5270.995,5462.6816,6927.078,7414.1514,8566.672,7145.835
q1,2021-03-31,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5984.801,2859.8115,4371.334,4921.4355,7721.9546,8427.736,10007.443,5715.8535,3835.972,4532.3945,4844.872,6851.5405,7251.378,8836.357,5368.705,3907.7458,4495.7144,4647.902,6233.3955,6598.36,7819.894,5237.91,3475.108,4189.8496,4456.1523,6602.7207,7236.817,8867.0205,5465.9154
q1,2021-06-30,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9325.769,5038.3896,6527.2705,7119.514,10891.012,11772.092,16290.798,8714.064,6693.8965,7129.7256,7484.4766,9966.703,10720.412,11299.451,8833.561,5949.666,6960.009,7385.032,10354.685,10900.021,12102.586,8289.748,6217.965,6930.252,7178.251,9502.663,9879.0205,11088.3955,9303.35
q1,2021-09-30,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,17317.902,8613.766,12238.668,13540.475,20226.375,21170.803,21860.666,16796.633,11728.198,13116.141,14172.483,19049.242,19667.725,20692.414,17535.309,11593.769,13677.394,14794.604,19937.553,20702.586,22145.475,15367.894,11463.987,12568.106,13073.379,17308.688,17965.64,19568.71,16747.1845
q1,2021-12-31,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7220.1465,3943.1855,5354.915,5840.9893,8975.171,9772.603,14497.467,7439.4487,4878.1875,5824.7363,6440.129,8291.695,9270.106,9819.426,7808.6255,5329.9443,6180.604,6561.8936,8928.381,9181.368,10226.439,5941.958,4706.093,5230.1426,5343.1924,6711.58,7222.6006,8342.68,6915.52
q1,2022-03-31,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,6671.431,2669.0107,3696.3994,4399.7656,8151.4517,9361.805,13104.59,5654.0264,3541.7446,4447.426,4858.804,6968.7124,7422.3096,9312.968,5481.9883,3621.4736,4382.133,4599.4463,6406.479,6855.0386,8411.101,5097.0986,3443.3018,4030.6436,4348.7344,6649.9546,7202.1504,8836.883,5696.01
q1,2022-06-30,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9033.18,5178.8867,6233.8228,7187.0293,11508.328,12699.307,15925.659,9119.868,6012.3223,7042.3496,7439.8086,10369.106,10808.281,12173.37,8793.482,5520.922,6553.516,7129.087,10536.011,11025.242,12158.014,7822.4077,5844.2217,6521.254,6777.0283,9153.05,9524.81,10711.465,9507.025
q1,2022-09-30,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,17390.174,6750.6353,12045.027,13265.848,20986.816,22518.5,22960.627,16714.521,10404.698,12402.367,13515.432,19620.629,20472.348,21312.217,17580.467,10924.763,13211.297,14349.332,20230.688,21125.469,22549.875,14879.779,10734.609,11826.742,12329.408,17294.59,18123.73,20091.902,17469.63
q1,2022-12-31,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7069.849,3500.811,5134.732,5359.46,9362.456,10982.334,16087.348,7128.805,5157.7637,5753.829,6029.299,9012.618,9879.817,10345.334,8004.302,5329.3984,6378.676,6820.12,9207.294,9510.191,10763.1,5964.669,4764.3813,5271.4395,5407.387,6685.3794,7188.1475,8218.638,7672.665
q1,2023-03-31,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,6370.158,2720.3618,3823.1428,5042.1035,7861.3315,9542.554,14375.809,5588.089,3292.4355,3909.6033,4405.754,6688.1514,7243.29,8387.653,5632.5547,3571.62,4415.6963,4623.905,6790.3906,7255.2856,8796.025,4840.488,3286.601,3871.6343,3977.6943,6151.673,7013.599,8329.276,6407.285
