unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
m1,2022-12-01,6611.115,6303.386,6216.1494,6052.508,6918.844,7006.081,7169.7227,6868.9033,6849.209,5317.593,5788.752,6036.4365,7678.8994,7911.0254,8372.397,6839.965,3329.0332,6631.6445,6630.3916,4896.0967,5370.7783,5614.866,7638.0596,7934.964,8467.216,6643.3716,3492.7483,6256.333,6271.751,3787.2815,4544.359,4885.968,7600.914,7944.0303,8690.666,6307.6133,3741.084,6356.121,6342.777,3126.2407,4026.4944,4702.4185,8222.646,8710.159,9623.755,6369.6772,4097.503,6054.377,6043.2754,3891.1162,4307.2134,4688.838,7251.6836,7781.0537,8479.187,6857.8
m1,2023-01-01,4150.2393,3842.5105,3755.2737,3591.6318,4457.9683,4545.205,4708.8467,4271.3135,4242.5615,3210.5464,3510.9424,3635.2227,4896.086,5028.918,5345.2925,4249.616,3154.086,4385.643,4402.469,2880.918,3384.188,3570.9248,5169.2256,5377.2256,5731.5986,4377.741,3311.494,3780.4941,3781.8777,2462.5017,2829.8743,3020.042,4474.8213,4652.5986,5074.9937,3770.7583,3243.8618,3623.5376,3621.829,1813.3237,2463.3635,2698.7605,4544.343,4832.4404,5395.373,3652.49,3440.7979,4402.4395,4314.385,2425.6267,3037.1807,3195.9958,5661.0225,5932.5527,6817.5107,4346.09
m1,2023-02-01,2841.0,2533.2712,2446.0344,2282.3926,3148.7288,3235.9656,3399.6074,3041.9749,3033.52,2098.077,2344.3855,2468.8767,3587.3044,3770.4504,4045.7808,3046.004,3104.188,2777.3926,2775.373,1779.51,2071.9285,2209.6338,3315.326,3468.0903,3715.9502,2796.539,3102.3728,2417.5952,2410.0315,1568.6884,1778.5457,1915.4371,2907.3452,3062.3037,3407.0144,2427.3333,3068.9346,2567.7925,2590.8752,1521.6726,1834.834,1985.507,3124.2104,3245.195,3476.4985,2567.8696,3115.2427,3045.6787,3108.2776,599.2395,1384.6759,1731.6295,4275.2188,4614.174,5367.372,3154.73
m1,2023-03-01,1813.44,1505.7112,1418.4744,1254.8325,2121.1687,2208.4055,2372.0474,2208.5754,2210.2393,1236.6139,1530.0366,1667.9183,2725.9062,2853.3271,3103.6814,2210.4746,3082.6775,1742.7546,1748.66,961.04553,1167.1177,1268.7991,2207.0015,2362.9194,2597.072,1755.7847,3062.308,2013.6206,2009.0549,1267.9869,1505.8237,1612.4353,2432.748,2538.173,2767.975,2016.2167,2999.6304,2208.3208,2196.054,1306.4263,1577.5824,1743.4136,2719.7085,2850.8293,3075.3381,2185.7231,3070.381,2509.3662,2506.5518,195.28003,859.5891,1125.4557,3834.3958,3984.4019,4633.6084,2142.21
m1,2023-04-01,2261.08,1953.3513,1866.1145,1702.4727,2568.8088,2656.0457,2819.6875,2349.2354,2361.8486,1446.6918,1680.0497,1828.7528,2819.5679,2988.2659,3272.4648,2336.2021,3098.2827,2242.2886,2249.0566,1264.1375,1525.5413,1684.8932,2794.4395,2916.621,3124.0974,2236.149,3101.0898,2243.5076,2236.509,1471.7764,1723.9364,1827.5986,2684.0305,2789.7063,3076.6492,2240.1206,3013.2366,2132.8452,2131.884,1377.6412,1558.4186,1680.8713,2568.9685,2679.4812,2943.857,2135.4006,3033.8364,2075.9229,2037.9458,202.14795,470.85083,885.9542,3353.105,3527.627,4051.0767,2375.725
m1,2023-05-01,1873.605,1565.8762,1478.6394,1314.9976,2181.3337,2268.5706,2432.2124,2027.7043,2018.7178,1198.9077,1472.6141,1572.9321,2509.0762,2639.1667,2924.617,2026.648,3072.485,1915.0498,1920.8053,1003.6979,1326.3176,1442.8887,2374.3518,2549.438,2801.2595,1894.4413,3074.0806,1757.7415,1760.3853,1078.5194,1269.3496,1378.8007,2124.816,2221.0273,2423.4976,1775.5558,2967.2175,2189.215,2193.156,1499.4178,1680.038,1780.7896,2589.5544,2703.9204,2888.509,2179.219,3004.31,2232.3142,2179.4578,220.0935,543.6255,771.7877,3780.7815,3924.5806,4572.1,1981.11
m1,2023-06-01,1772.84,1465.1112,1377.8744,1214.2325,2080.5688,2167.8057,2331.4475,1752.824,1750.8613,743.63586,1139.6573,1273.2563,2274.2227,2442.9634,2661.4326,1748.9175,3091.6372,1698.5354,1718.686,901.32666,1113.267,1256.7192,2136.9707,2264.1096,2467.6338,1700.631,3063.3018,1592.7819,1598.2786,952.97986,1154.0581,1257.886,1912.742,2022.8618,2204.8835,1588.4082,2953.9995,2046.4972,2045.874,1288.0249,1537.6628,1657.605,2426.4316,2531.73,2790.5935,2050.6616,2988.6992,2822.549,2915.1086,325.8025,862.70044,1058.4525,4258.448,4514.2847,4901.761,1959.865
m1,2023-07-01,2049.565,1741.8362,1654.5994,1490.9575,2357.2937,2444.5305,2608.1724,2159.842,2168.8228,1208.3047,1519.6785,1649.7859,2682.9382,2838.0146,3081.4084,2156.8918,3085.9722,2189.9292,2176.9158,1359.9059,1539.8004,1664.7251,2677.2964,2842.366,3159.9583,2177.3276,3090.1963,2138.8064,2141.2148,1349.2332,1546.8307,1706.5964,2583.231,2700.0667,2892.5527,2134.7231,3035.0928,2456.8667,2469.841,1454.8854,1750.9866,1930.2651,2995.1282,3137.9033,3345.2566,2447.848,3098.9993,2889.4912,2935.644,251.90283,878.8545,1288.3019,4606.796,4818.1387,5928.3164,2466.31
m1,2023-08-01,2932.265,2624.5361,2537.2993,2373.6575,3239.9937,3327.2305,3490.8723,3163.3767,3161.7886,2186.3625,2488.2437,2622.2583,3671.5054,3841.5508,4218.034,3171.7153,3108.689,2874.2756,2895.4368,1938.5156,2169.5889,2321.5977,3395.9668,3560.5024,3880.8179,2879.4377,3115.552,2934.6353,2933.5603,1922.9718,2252.165,2383.704,3465.7336,3609.2974,3873.5952,2916.701,3096.8955,3026.9219,3018.6252,1924.0897,2194.4958,2368.396,3665.636,3828.3574,4171.3867,3018.8325,3185.4297,3166.6223,3073.0288,1125.8284,1558.6453,1734.8191,4572.6777,4957.2017,5670.119,2851.715
m1,2023-09-01,3113.255,2805.5261,2718.2893,2554.6475,3420.9836,3508.2205,3671.8623,3218.3926,3213.0503,2159.6565,2528.3079,2648.827,3808.7363,3967.541,4332.356,3229.9133,3135.25,3345.2964,3361.6318,2149.8967,2468.5212,2659.3386,4014.3618,4223.6777,4533.5664,3346.9775,3209.5864,3241.2573,3243.3735,2164.2195,2390.2856,2582.8257,3891.5327,4050.1436,4386.0513,3251.5225,3192.935,3286.8875,3290.2092,1827.0747,2337.5679,2532.2803,4057.0293,4246.701,4617.8403,3260.711,3254.5645,3939.6938,4057.6577,948.73584,2413.199,2552.1438,5180.371,5770.6533,6301.92,3671.805
