unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
m1,2022-12-01,6611.115,6303.386,6216.1494,6052.508,6918.844,7006.081,7169.7227,6420.1113,4373.9844,5084.5117,5616.81,7535.3223,7776.717,8694.575,6751.004,4807.174,5446.25,5717.109,7896.297,8097.2627,9025.112,7161.5615,4156.181,4989.161,5437.749,9084.753,9695.514,10602.112,6727.8525,3317.875,4570.989,5113.1787,8368.761,8865.967,9767.029,6857.8
m1,2023-01-01,4150.2393,3842.5105,3755.2737,3591.6318,4457.9683,4545.205,4708.8467,3946.8367,2750.1301,3267.1213,3355.4346,4856.45,4951.6675,5565.006,4241.507,3099.3025,3479.6355,3761.2734,4845.948,4938.488,5585.828,4359.437,2544.0605,3018.4038,3336.1492,5602.7344,5989.078,6699.5225,3864.4153,2161.4902,2731.0938,3019.5034,4788.5195,5145.8096,5996.7773,4346.09
m1,2023-02-01,2841.0,2533.2712,2446.0344,2282.3926,3148.7288,3235.9656,3399.6074,2897.682,1728.0393,2018.9548,2367.7676,3452.46,3775.811,4554.6396,2966.8074,2089.856,2446.9902,2613.2944,3518.5474,3494.2778,4456.328,2592.828,1462.2822,1905.5647,2086.4321,3425.1611,3746.2388,4499.4644,2819.5447,1710.2051,2073.8962,2253.1094,3598.4907,3939.2961,4684.2993,3154.73
m1,2023-03-01,1813.44,1505.7112,1418.4744,1254.8325,2121.1687,2208.4055,2372.0474,2252.7202,1135.1477,1583.816,1641.5492,2686.7268,2804.7107,3553.4216,2177.419,1586.3965,1831.259,1892.2987,2584.693,2777.515,3501.101,1965.4878,1265.3292,1542.1469,1601.7467,2552.9766,2770.3613,3217.977,2599.7966,1552.1129,1943.6042,2097.1614,3306.3518,3589.8372,4345.672,2142.21
m1,2023-04-01,2261.08,1953.3513,1866.1145,1702.4727,2568.8088,2656.0457,2819.6875,2181.238,1384.1,1762.0914,1882.4133,2762.1511,3108.4568,3828.9038,2216.3323,1624.1942,1790.5359,1839.08,2768.6716,2886.823,3711.1687,1739.6072,1179.1553,1428.1989,1520.2946,2234.2441,2463.133,2841.467,2323.1392,1490.5392,1800.6733,1931.5864,2799.1985,3015.4258,3660.2239,2375.725
m1,2023-05-01,1873.605,1565.8762,1478.6394,1314.9976,2181.3337,2268.5706,2432.2124,1942.331,1035.1534,1427.228,1577.3302,2705.9214,2956.7402,3431.3193,1832.168,1302.4564,1523.9478,1627.5393,2256.204,2573.866,3092.394,2107.8574,1270.793,1603.5149,1720.7705,2836.1794,3145.59,3779.3755,2007.8096,1342.2516,1565.3965,1653.7252,2494.959,2771.4773,3523.643,1981.11
m1,2023-06-01,1772.84,1465.1112,1377.8744,1214.2325,2080.5688,2167.8057,2331.4475,1607.244,860.9551,859.1549,1260.9655,2254.475,2535.96,3036.9285,1836.1172,1145.0138,1403.8109,1612.4866,2121.4485,2304.4087,2893.7292,1529.333,1117.166,1341.1798,1395.72,1978.5281,2255.5825,2816.544,1955.3633,1217.525,1489.22,1603.3314,2512.3696,2844.0386,3802.6401,1959.865
m1,2023-07-01,2049.565,1741.8362,1654.5994,1490.9575,2357.2937,2444.5305,2608.1724,2032.974,858.21326,1484.5557,1884.1207,2701.5562,2855.8396,3455.0266,2209.8403,1286.3455,1699.2751,1919.8945,2685.0723,2668.5962,3235.9358,2091.98,1337.6265,1642.4106,1764.3547,2747.7634,3049.3723,3751.6172,2314.2998,1463.1113,1810.1184,1930.7356,2942.9485,3246.3896,4212.9106,2466.31
m1,2023-08-01,2932.265,2624.5361,2537.2993,2373.6575,3239.9937,3327.2305,3490.8723,2807.688,1935.0969,2030.8274,2499.915,3683.9888,4065.064,4715.948,2793.8098,1804.2842,2191.2722,2386.8325,3463.4397,3750.3628,4229.1494,3266.7888,1852.8906,2329.1467,2558.3347,4287.563,4653.1123,5475.4883,2960.885,1879.5205,2302.8232,2483.0603,3538.6504,3813.3867,4438.8906,2851.715
m1,2023-09-01,3113.255,2805.5261,2718.2893,2554.6475,3420.9836,3508.2205,3671.8623,3562.42,1994.0706,2610.678,2866.4016,4157.1826,4596.67,5156.8223,3563.7793,2336.738,2815.5737,2946.2173,4432.3276,4799.1006,5799.134,3659.875,2133.5974,2631.3394,2887.9182,4715.976,5057.896,5783.199,3231.6821,2015.0256,2513.2798,2718.8687,3850.0583,4179.545,4908.6963,3671.805
