unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
q1,2021-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,6646.4595,6628.2217,4348.239,5092.564,5406.365,7870.1523,8195.955,8878.101,6646.6494,8887.242,6612.714,6637.1543,4318.6523,4978.657,5302.6875,7849.0728,8265.793,8762.923,6623.9917,8913.364,7080.838,7104.837,4874.491,5466.0776,5856.3994,8278.733,8630.052,9227.224,7074.485,8867.462,6691.766,6694.224,4291.8125,4960.5693,5350.882,8094.469,8483.076,9199.662,6654.6113,8962.326,6686.037,6655.4653,1070.02,2974.809,3701.2031,9995.836,10405.475,11371.687,7145.835
q1,2021-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5565.2544,5574.4365,3249.3784,4075.487,4292.9507,6816.585,7147.8247,7846.34,5613.372,8909.186,5360.183,5379.3145,3086.5503,3615.1226,3968.934,6719.154,7091.9023,7816.4375,5390.461,8989.171,5522.941,5516.208,2960.5781,3813.0618,4178.501,6921.9805,7372.3047,8143.8667,5518.352,8977.094,5275.243,5319.982,2633.3691,3250.101,3718.1387,6721.804,7090.9404,7916.174,5240.1626,9101.234,5665.954,5193.252,302.34668,1335.3726,1753.1123,9198.611,10976.017,13712.703,5465.9154
q1,2021-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9066.742,9033.414,6271.5454,7267.364,7684.924,10572.837,10951.019,11510.428,9053.059,9101.196,9107.809,9111.447,6389.743,7084.6357,7557.1685,10735.068,11206.66,11791.906,9079.868,9117.736,8548.365,8526.1455,5076.2764,6140.559,6654.551,10420.906,11011.033,12008.537,8530.63,9366.223,8033.824,8081.792,5144.8057,5965.891,6445.842,9586.138,10083.254,10912.45,8075.6455,9107.42,8457.611,8785.329,657.12646,3633.9722,4046.0908,11887.723,13082.403,15539.021,9303.35
q1,2021-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,16317.717,16356.596,12119.75,12949.519,13666.988,18792.863,19532.262,20432.924,16409.598,9799.688,17030.613,17085.43,13276.326,14355.953,14979.888,19052.115,19572.863,20911.863,17031.004,9558.871,17018.312,17064.887,10545.529,12141.492,13199.889,20940.738,22022.072,23650.316,16947.484,10777.012,14737.206,14743.102,9915.894,11091.909,11986.338,17409.072,18445.92,19937.46,14761.604,10002.071,16178.869,16360.475,10033.583,10775.922,13051.385,18812.037,19697.336,22210.775,16747.1845
q1,2022-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,6836.3467,6829.4146,4245.2754,4886.1987,5352.2197,8393.287,8871.124,9669.584,6838.3096,9069.646,6651.1943,6679.2217,4014.2441,4816.415,5226.5625,8048.702,8458.923,9097.84,6681.453,9016.077,7115.1895,7077.5234,4586.167,5311.6562,5708.9185,8579.451,8969.378,9552.197,7155.335,9016.364,6798.4004,6723.2686,4033.0122,4855.419,5277.001,8414.718,8941.344,9657.974,6800.418,9160.352,6201.596,6279.1147,857.1753,1584.937,2477.855,9792.471,11163.756,11893.262,6915.52
q1,2022-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5572.9316,5539.3403,3108.4492,3812.7556,4154.083,6945.28,7364.058,8198.637,5606.9595,9000.654,5388.4478,5372.414,2765.2954,3446.874,3917.1277,6950.792,7308.618,8090.179,5372.009,9024.1,5856.551,5861.0625,3422.0776,4041.2964,4412.2686,7216.451,7668.695,8285.19,5806.8506,9066.416,5419.8945,5405.8345,2710.0215,3423.7808,3907.8054,6893.7197,7339.4053,8062.6133,5363.2803,9055.497,5789.0894,5449.411,-1061.6104,497.4087,1033.5039,10630.935,11432.37,12470.433,5696.01
q1,2022-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,8981.04,9027.275,5574.919,6608.402,7135.1133,10771.724,11183.99,12292.69,9048.033,9342.42,9174.87,9170.395,6305.2646,7127.3022,7603.1426,10804.775,11262.342,12113.998,9166.117,9164.478,8690.901,8640.852,4307.1426,5778.2046,6362.848,10939.466,11606.263,13008.023,8675.865,9682.207,8117.8027,8110.408,5416.4014,6088.8047,6526.1885,9644.497,10058.758,10826.792,8180.762,9124.524,8554.277,8945.692,2337.7275,3430.5742,4014.46,13217.969,13880.365,14610.6,9507.025
q1,2022-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,16717.982,16640.742,11933.595,13292.768,14027.644,19560.965,20430.46,22018.238,16620.812,10117.463,17019.402,17061.54,12205.077,13521.037,14327.008,19742.11,20606.645,22002.299,17082.371,10104.245,16985.18,16962.05,9823.539,11899.699,13235.412,20968.648,21978.906,24001.531,17052.23,10992.297,15290.426,15232.906,10366.149,11637.44,12254.119,18392.848,19352.232,21038.312,15168.898,10337.974,16124.165,16196.977,8930.124,10976.627,11818.547,20389.05,21378.484,22550.352,17469.63
q1,2023-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,6818.5483,6829.1416,4093.329,4873.008,5381.9707,8308.8955,8789.848,9501.24,6783.3203,9089.355,6943.88,6942.598,4273.872,5022.22,5503.5312,8420.402,8832.558,9521.299,6978.011,9086.996,7344.6777,7320.1235,4648.468,5407.7246,5828.172,8882.712,9335.303,10262.816,7331.9487,9118.31,7016.323,7050.3096,3835.5586,4974.8027,5450.0215,8573.04,9107.913,9975.473,7012.344,9156.176,6718.8496,6522.9756,-1715.9736,1999.29,2565.142,11121.039,12659.076,16002.252,7672.665
q1,2023-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5774.297,5761.9663,3379.3281,4053.6775,4372.115,7147.802,7599.921,8194.62,5774.3486,9018.664,5187.25,5176.073,2722.2456,3330.396,3729.5747,6581.0415,6955.2915,7744.3276,5255.783,9010.092,6034.781,6018.8125,3765.2095,4399.409,4738.265,7370.5923,7682.0503,8438.651,6040.1367,8927.72,5600.28,5611.652,2515.3335,3563.3247,4009.3745,7279.59,7617.6274,8392.567,5621.9233,9188.089,6595.037,6873.463,-3491.8887,-293.62207,1433.7666,11835.224,13597.678,15251.53,6407.285
