unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
q1,2021-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7050.0117,4834.925,5949.64,6388.361,7820.4434,8017.5444,8973.826,7110.626,6138.3594,6400.184,6718.438,7923.7837,8277.37,9814.455,6334.1924,4599.4463,5333.207,5566.2705,7267.2295,7752.174,8976.064,6775.8716,4549.517,5688.268,5965.2266,8253.613,8839.719,10272.194,7145.835
q1,2021-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5649.5864,3650.5952,4570.8896,4881.9277,6279.212,6684.717,8153.787,5824.1665,4486.2236,5050.2554,5474.0356,6355.323,6884.9146,8518.805,4908.005,3781.4702,4153.6064,4264.4434,5757.9507,6254.263,7638.7656,5388.205,4040.413,4613.787,4773.6196,6377.4624,6738.168,7996.962,5465.9154
q1,2021-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9094.934,6212.825,7881.9897,7680.653,10741.892,10853.293,13055.233,9084.309,7239.4907,7663.509,7940.535,9752.775,10397.812,12596.291,9290.91,6553.215,7461.9556,7979.149,10982.94,11889.271,13160.236,8625.098,5460.577,6822.5845,7354.129,10162.175,10824.971,12542.618,9303.35
q1,2021-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,16751.777,10052.73,13096.084,14142.076,19646.225,19967.21,22285.45,16187.068,10986.716,12950.939,13658.847,17855.824,18357.047,19345.008,17435.367,11197.001,14267.373,15402.113,19737.809,20596.352,22680.643,17271.375,8962.914,12682.612,14040.18,19602.342,20231.533,22722.3,16747.1845
q1,2022-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7111.54,4754.073,5785.0166,6334.2534,8463.172,8529.132,9450.745,7254.0522,5569.077,5711.9775,6573.2695,7957.1616,8542.918,9677.441,6665.4814,4751.418,5494.2773,5740.3945,7822.475,8309.083,9473.439,7017.3613,4127.797,5726.334,6094.1025,8731.798,9439.447,11172.162,6915.52
q1,2022-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5704.502,3463.0498,4335.972,4701.4976,7038.3076,7428.767,9778.164,5629.2505,3819.0999,4960.6143,4752.001,6382.8447,7008.8535,8223.126,5038.3115,3878.1882,4249.4644,4387.7573,5858.6963,6334.627,7548.4697,5368.044,3648.3086,4519.873,4672.907,6414.5195,6928.7026,8850.139,5696.01
q1,2022-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9509.763,5961.0073,7676.403,8010.898,11175.009,11370.607,13593.817,9030.977,6350.0977,7093.9507,7385.8433,9980.875,10937.328,11627.541,9202.291,5065.9595,6791.8574,7448.8423,11115.592,11993.953,13844.493,9195.125,4911.6465,6713.9033,7443.664,11012.591,11826.746,13970.869,9507.025
q1,2022-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,16652.598,9610.414,12398.108,13383.941,20347.512,20972.332,23115.352,15772.85,10156.775,11898.516,12544.742,17990.484,18363.197,19379.105,17535.746,10884.489,13858.935,15084.534,20200.043,21074.768,23388.18,17498.05,8074.412,12258.871,13713.91,20314.508,21052.572,23926.395,17469.63
q1,2023-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7303.1357,4242.72,5695.583,5971.8843,8711.006,9053.863,10708.047,6919.4604,4609.764,5669.548,5893.419,8019.625,8449.359,9155.217,6870.9365,4561.1597,5466.407,5788.435,8099.1797,8600.479,9955.101,7221.0977,4020.1787,5636.0205,6066.4062,8842.517,9571.89,11669.284,7672.665
q1,2023-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5833.25,2253.0483,4660.384,4887.1914,6763.1426,7416.581,9970.034,5573.461,3713.793,4337.0947,4873.3857,6382.204,6682.5195,7601.324,5158.8667,3379.9072,4055.4822,4241.2075,6389.8267,6980.222,8667.392,5611.3203,3347.17,4700.088,4969.2266,7171.9297,7878.477,10946.15,6407.285
