unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
ID0,2014-08-10,4582.0,-1441.121,-3148.592,-6351.524,10605.121,12312.592,15515.523,7533.992,239.88525,3819.8564,5739.3564,11329.876,12286.748,15556.588,8748.851,947.6128,3055.6611,4478.76,12590.716,13831.534,15648.136,6837.898,1792.7576,3540.288,4630.5586,9209.975,10237.101,12312.838,5125.7764,2278.9512,3271.6428,3866.6694,6460.8413,7091.533,8654.774,10975.0
ID0,2014-08-17,10449.0,4425.879,2718.408,-484.52383,16472.121,18179.592,21382.523,7065.2324,118.71118,3529.618,3942.762,11004.918,12428.519,18413.441,7590.907,-48.956055,1939.0533,3175.2441,12522.971,13616.418,15617.265,6309.462,1723.855,3249.2698,4187.228,8635.356,9512.109,11624.746,4975.561,2057.3901,2950.0684,3609.1426,6403.0713,7042.2803,8629.43,10990.0
ID0,2014-08-24,4199.0,-1824.121,-3531.592,-6734.524,10222.121,11929.592,15132.523,7915.3545,232.59961,2332.301,2657.27,11304.018,13147.809,19324.518,6903.588,194.67456,1598.9534,2755.1978,11185.706,11711.525,15048.957,5945.6045,1486.1357,2934.2715,3875.4954,8303.506,9324.403,11300.385,4825.202,1949.469,2822.5288,3484.3735,6281.225,6916.8564,8493.808,11456.0
ID0,2014-08-31,7645.0,1621.879,-85.592026,-3288.524,13668.121,15375.592,18578.523,7275.264,-213.41211,2584.3875,3410.0383,9317.754,11744.01,17629.082,7136.2754,291.03076,2360.9014,2931.8237,11090.553,11755.049,14849.414,5814.6523,1436.9004,2823.1113,3673.8157,8145.596,9089.948,11011.072,4770.0747,1945.3805,2774.0632,3435.738,6290.465,7109.9414,8728.814,10545.0
ID0,2014-09-07,10510.0,4486.879,2779.408,-423.52383,16533.121,18240.592,21443.523,5995.6797,-1154.9531,1314.9104,2555.3977,10000.812,11291.717,17734.129,7531.3105,933.5381,2943.1792,4016.6597,10524.946,10948.53,12971.552,5526.5405,1352.6082,2677.2808,3467.6824,7751.067,8634.109,10463.116,4496.792,1749.856,2496.227,3083.8652,6090.3906,6884.2803,8476.994,10813.0
ID0,2014-09-14,10547.0,4523.879,2816.408,-386.52383,16570.121,18277.592,21480.523,5992.9795,-1563.1396,2079.5151,3198.21,10369.943,11451.985,17210.7,7911.065,934.9077,3311.829,4437.729,10153.478,10961.951,14125.353,5283.542,1316.8713,2580.7573,3321.5894,7431.8223,8330.824,10160.172,4452.368,1670.6089,2469.1064,3019.1396,6040.619,6778.66,8324.209,3610.0
ID0,2014-09-21,10120.0,4096.879,2389.408,-813.5238,16143.121,17850.592,21053.523,5922.4536,-2186.4102,709.4968,2164.3032,11127.369,12193.091,17437.99,8049.033,766.43994,3446.48,4703.77,10447.4795,11451.885,13703.322,5085.3633,1295.9888,2477.437,3187.4727,7164.4927,8031.3433,9736.668,4242.5483,1492.0708,2365.2087,2883.844,5804.519,6444.657,7951.2534,1328.0
ID0,2014-09-28,11099.0,5075.879,3368.408,165.47617,17122.121,18829.592,22032.523,5536.183,-1848.3447,851.74243,2610.3027,10912.996,13049.811,19026.758,7953.212,1429.2009,3702.5698,4559.9326,11170.642,11890.206,12623.219,4624.6475,1186.6199,2311.9878,2948.4922,6535.0425,7231.788,8917.236,3922.9258,1352.0381,2168.3813,2614.6125,5432.566,6015.3623,7389.844,1255.0
ID0,2014-10-05,11474.0,5450.879,3743.408,540.4762,17497.121,19204.592,22407.523,7160.4043,-2932.205,413.79126,1514.5967,10922.84,13480.585,19649.48,7878.7207,2089.225,3965.3904,4664.968,10819.883,11371.41,12638.077,4213.737,990.5852,2090.5303,2668.964,6050.2427,6736.1904,8327.156,3775.792,1319.4458,2077.0928,2495.4683,5270.87,5858.9873,7207.4893,1596.0
ID0,2014-10-12,9416.0,3392.8792,1685.408,-1517.5238,15439.121,17146.592,20349.523,6422.1387,-2232.2607,810.91675,2021.7712,10940.1,13884.749,19981.59,7345.7344,1749.0852,3563.113,4072.3425,10252.502,10605.302,11927.326,4009.5037,869.1587,2069.3286,2574.566,5820.5503,6496.9424,8190.856,3659.9094,1283.219,2019.1859,2448.079,5089.5815,5645.7734,6950.741,1676.0
