Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.9009170608419542,0.3915143143233957
AutoMLP_90,0.9472765906063225,0.27697116500036384
AutoNHITS_90,0.9456725664398897,0.279224701663446
AutoLSTM_90,0.939816749628723,0.29958990211509257
AutoGRU_90,0.9447638187275297,0.2835551140697313
SeasonalNaive_95,0.8953481090576054,0.38715870612460185
AutoMLP_95,0.9471635728722854,0.2647278398992615
AutoNHITS_95,0.9439629623162419,0.2689339569042067
AutoLSTM_95,0.9409547156270184,0.28123539748594384
AutoGRU_95,0.9446046546066078,0.26894065950205864
SeasonalNaive_99,0.885058889817532,0.35848429672033877
AutoMLP_99,0.9384589430907081,0.2609917276521855
AutoNHITS_99,0.9381090826960571,0.26181150570953915
AutoLSTM_99,0.9358003717579315,0.2534800991790479
AutoGRU_99,0.9369551013063557,0.2534911211892639
