Model_Percentile,AUC,LogLoss
AutoMLP_90,0.7147261269429863,0.6685901943281284
AutoNHITS_90,0.835458087764744,0.6097302001501733
AutoLSTM_90,0.8364434622510726,0.6244518769998783
AutoGRU_90,0.7932392313041094,0.6385277538206356
AutoMLP_95,0.6973337992150483,0.660474826507683
AutoNHITS_95,0.8354708521035585,0.6142820894047066
AutoLSTM_95,0.8253124667852433,0.6229633110931916
AutoGRU_95,0.7910867663035601,0.6390818886818598
AutoMLP_99,0.6702743822213717,0.641468302600966
AutoNHITS_99,0.8192715833791833,0.6185275680276691
AutoLSTM_99,0.7974708752960314,0.6173460265227927
AutoGRU_99,0.7696336387340622,0.6369154683264039
