unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
Q1,1992-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5633.7197,4753.6304,5203.506,5313.3594,6000.096,6083.646,6309.344,4707.2983,2127.8047,3160.6062,3564.6133,5685.049,5984.906,6767.5693,5510.123,5229.0366,5360.81,5414.1807,5673.2646,5694.394,5917.327,5562.621,4856.6416,5270.779,5363.1816,5786.8223,5915.9805,6152.701,5592.15
Q1,1992-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5628.252,4878.887,5093.6577,5243.305,5986.6157,6108.101,6502.518,4770.4907,2116.949,3177.6685,3598.2322,5795.4067,6134.0083,7108.881,5596.7334,5176.603,5376.282,5444.1963,5794.5137,5850.1895,6067.8857,5660.9736,4911.462,5319.5234,5444.417,5887.4565,6040.633,6236.629,5481.6
Q1,1992-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5553.6895,4561.718,4910.828,5049.3105,5988.729,6151.721,6479.0254,4839.319,2174.338,3215.357,3640.8428,5926.829,6283.4204,7122.199,5736.365,5167.1445,5419.04,5493.748,5978.693,6070.6816,6333.703,5673.1147,4694.427,5185.646,5354.6978,5965.065,6105.9834,6300.116,5511.55
Q1,1993-03-31,5551.25,4043.1992,3615.6877,2813.7476,7059.301,7486.812,8288.753,5448.8804,4164.219,4852.325,4968.62,5912.3965,6100.1436,6458.908,4924.5757,2190.669,3313.2324,3744.1912,5957.515,6265.995,7052.3564,5647.6294,5054.997,5336.75,5414.999,5932.0127,6057.0117,6414.025,5690.017,4559.863,5082.9883,5282.113,6008.781,6174.8403,6375.366,5531.5
Q1,1993-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5611.211,4530.6504,4908.212,5082.8296,6148.9375,6261.013,6574.835,4999.8066,2116.6377,3237.8281,3697.1929,6186.83,6538.115,7361.4814,5817.718,4905.263,5334.2812,5494.249,6086.543,6222.437,6558.9375,5804.081,4426.5225,5032.4214,5244.2705,6205.1387,6334.6206,6606.1123,5670.6
Q1,1993-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5534.0483,4406.701,4794.2773,4995.564,6035.664,6206.55,6520.2256,5055.9453,2124.96,3212.0278,3699.4065,6304.296,6667.5283,7563.853,5847.1426,4786.2803,5270.9204,5449.365,6135.6055,6304.6646,6701.565,5896.094,4337.911,5000.546,5298.501,6313.215,6475.0366,6855.126,5730.0
Q1,1993-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5448.415,3895.1638,4686.8945,4875.5913,5872.9395,6077.14,6521.32,5123.466,2166.076,3271.8584,3728.647,6400.4644,6766.827,7636.9375,6014.528,4916.962,5454.963,5649.8174,6337.7515,6512.7456,6981.846,5917.0435,4205.398,4920.8613,5293.1094,6360.708,6595.7305,7032.041,5798.45
Q1,1994-03-31,5551.25,4043.1992,3615.6877,2813.7476,7059.301,7486.812,8288.753,5396.307,4010.658,4702.3545,4829.9834,5870.9165,6026.872,6303.0967,5205.667,2237.614,3336.6526,3810.2947,6415.576,6774.9116,7638.7554,5988.153,4928.252,5443.4375,5634.4814,6382.414,6573.289,7138.082,5994.817,4023.1414,4825.3438,5244.395,6513.5117,6762.833,7268.968,5809.05
Q1,1994-06-30,5605.15,4097.099,3669.5876,2867.6475,7113.2007,7540.712,8342.652,5553.5366,4222.0806,4837.4463,5015.616,5989.9214,6265.122,6635.324,5291.6694,2221.5095,3280.016,3765.0276,6589.6167,6951.6914,7856.48,6176.3765,4960.8076,5553.7993,5783.2964,6539.69,6731.4844,7218.9146,6118.2227,4132.2515,4946.747,5389.5605,6672.7715,6964.709,7616.978,5707.05
Q1,1994-09-30,5630.0,4121.949,3694.4377,2892.4976,7138.051,7565.562,8367.503,5530.6,4233.886,4697.196,4896.888,5886.212,6193.1426,6256.015,5362.18,2174.5588,3303.9165,3793.3328,6704.6465,7101.7207,7975.1846,6241.0127,4877.279,5527.8916,5787.3677,6658.181,6820.1533,7400.755,6161.168,4122.864,4943.6904,5389.331,6733.591,7051.209,7722.87,5661.75
Q1,1994-12-31,5589.2,4081.1494,3653.638,2851.6978,7097.251,7524.762,8326.703,5432.7954,4628.4824,4725.907,4861.6416,5850.1567,6195.2983,6487.9272,5439.372,2248.1528,3360.442,3836.0837,6787.036,7152.5605,8065.803,6403.9375,5008.1587,5614.9995,5921.2466,6921.264,7157.0713,7754.3047,6128.59,3864.5386,4758.3623,5214.4443,6909.33,7305.9023,8180.578,6176.6
Q10,1992-06-30,6497.12,4916.085,4467.8833,3627.1316,8078.1553,8526.357,9367.108,6988.417,5112.6113,6159.056,6434.7295,7575.2227,7645.5586,8149.0557,6128.766,2646.9272,4144.5103,4729.419,7289.95,7672.6255,8525.551,6834.99,5803.6084,6187.4414,6385.811,7253.2056,7388.2236,7544.7407,6826.677,5063.3667,6089.967,6321.015,7157.1055,7303.8,7869.5684,6731.2
Q10,1992-09-30,6749.64,5168.605,4720.4033,3879.6516,8330.676,8778.877,9619.629,7030.2075,5213.9414,5796.823,6178.6875,7630.259,7776.7314,8341.803,6205.4673,2633.7512,4165.2197,4770.224,7423.899,7853.601,8939.823,7012.3276,5632.302,6209.224,6442.085,7517.563,7706.2905,8032.166,7033.4697,4881.6694,5959.468,6293.8457,7549.0127,7703.101,8481.767,6984.68
Q10,1992-12-31,6807.62,5226.585,4778.3833,3937.6316,8388.655,8836.857,9677.608,6768.8105,4354.965,5453.5527,5761.4814,7652.996,7952.124,8585.455,6289.0083,2703.4077,4210.965,4821.944,7583.4146,8034.9526,8955.989,7113.384,5463.0806,6181.9766,6414.324,7661.824,7849.297,8238.373,7011.0522,4520.8896,5767.147,6184.6455,7560.832,7754.0625,8690.35,6820.5
