unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
m1,2022-12-01,6611.115,6303.386,6216.1494,6052.508,6918.844,7006.081,7169.7227,6495.3364,4305.8237,5206.249,5460.6147,7807.964,8283.154,9692.852,7129.6973,4821.3936,5718.701,6087.308,8141.4707,8444.437,9257.838,5920.4717,4152.6187,4577.2476,4820.8228,7039.583,7389.792,8139.631,6622.904,4799.7383,5356.4,5639.373,7572.4473,7892.1357,8589.42,6857.8
m1,2023-01-01,4150.2393,3842.5105,3755.2737,3591.6318,4457.9683,4545.205,4708.8467,4354.014,2800.4817,3485.836,3611.476,5088.468,5674.5586,6516.1885,4341.3184,3099.7188,3584.5396,3742.499,5129.248,5253.7056,5477.9824,3609.2957,2342.9478,2668.6975,2859.4783,4465.923,4730.987,5398.968,3772.851,2698.829,3050.6375,3188.3396,4404.409,4579.2,5123.329,4346.09
m1,2023-02-01,2841.0,2533.2712,2446.0344,2282.3926,3148.7288,3235.9656,3399.6074,3014.0466,1850.4907,2346.0469,2449.8833,3918.478,3917.2532,5038.075,3144.6658,2235.937,2556.235,2713.719,3666.9219,3773.415,4286.9404,2623.123,1659.8307,1902.4706,2052.318,3342.9324,3572.3428,4126.132,2650.5898,1902.3739,2157.2412,2259.8735,3131.7927,3256.337,3688.938,3154.73
m1,2023-03-01,1813.44,1505.7112,1418.4744,1254.8325,2121.1687,2208.4055,2372.0474,2101.811,1074.8315,1743.581,1906.355,2728.5232,2782.8486,3744.2263,2347.1702,1795.4454,2128.7207,2193.8325,2730.97,2616.2222,3255.4128,2200.677,1440.432,1670.4991,1801.1036,2658.5188,2812.5051,3160.6626,2327.7292,1658.5758,1898.2126,1975.7798,2716.5479,2793.4958,3157.2239,2142.21
m1,2023-04-01,2261.08,1953.3513,1866.1145,1702.4727,2568.8088,2656.0457,2819.6875,2268.862,1018.1666,1850.0447,1948.4823,2989.009,3293.098,3785.9727,2070.1875,1688.219,1864.9691,1837.8873,2345.3154,2593.649,3116.9805,2376.9785,1543.2885,1804.789,1942.0214,2850.4126,3025.8108,3495.275,2416.6448,1693.739,2002.9509,2096.3445,2752.027,2870.1624,3141.4067,2375.725
m1,2023-05-01,1873.605,1565.8762,1478.6394,1314.9976,2181.3337,2268.5706,2432.2124,1887.1636,877.5996,1336.9806,1527.0679,2165.9302,2616.0645,3239.552,1976.9529,1458.0514,1618.1886,1737.2944,2263.418,2426.647,3236.2612,2188.9448,1411.8558,1661.6105,1791.6626,2700.5054,2881.1465,3343.508,2132.3218,1529.5149,1756.0054,1850.7084,2427.734,2509.4734,2753.0679,1981.11
m1,2023-06-01,1772.84,1465.1112,1377.8744,1214.2325,2080.5688,2167.8057,2331.4475,1676.6808,790.5392,1508.875,1563.1256,2067.8,2254.0898,3421.4143,1793.4065,1246.7017,1460.382,1754.3196,2051.808,2300.5193,2757.1238,1823.0833,1109.2443,1345.6376,1462.4489,2353.1306,2558.2612,3014.758,1591.6292,1244.5204,1378.5717,1439.9814,1850.721,1946.0906,2136.4648,1959.865
m1,2023-07-01,2049.565,1741.8362,1654.5994,1490.9575,2357.2937,2444.5305,2608.1724,2095.7822,1214.912,1647.4343,1984.4832,2403.8145,2518.4062,3106.3145,2491.0427,1605.6758,1900.9553,2136.651,3064.2588,3005.6113,3587.565,2214.6484,1339.5494,1622.5474,1766.1464,2782.9106,3005.0796,3590.4512,1962.0012,1497.4106,1668.8301,1735.1425,2276.0054,2413.6467,2723.428,2466.31
m1,2023-08-01,2932.265,2624.5361,2537.2993,2373.6575,3239.9937,3327.2305,3490.8723,2867.5488,1791.2097,2018.9304,2173.6902,3285.21,3441.0332,4244.1636,2685.3088,1876.761,2227.5916,2392.775,3627.516,3570.0796,4167.8115,2865.289,1808.1575,2194.9597,2347.4155,3454.6235,3675.1821,4234.9023,2798.5432,2028.4036,2328.0393,2404.9854,3295.8396,3451.8857,3843.7285,2851.715
m1,2023-09-01,3113.255,2805.5261,2718.2893,2554.6475,3420.9836,3508.2205,3671.8623,3440.2668,1663.6902,2659.2012,2741.217,3826.376,3981.2307,4513.554,3100.7954,1994.916,2386.0889,2582.1619,3666.953,3868.8987,4713.385,3292.509,1997.2959,2412.018,2599.399,4095.8984,4376.828,5042.6206,3269.5132,2290.6616,2609.0522,2763.8564,3851.3447,4041.813,4470.668,3671.805
