unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoMLP-loc,AutoMLP-scale,AutoNHITS,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoNHITS-loc,AutoNHITS-scale,AutoLSTM,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoLSTM-loc,AutoLSTM-scale,AutoGRU,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,AutoGRU-loc,AutoGRU-scale,AutoDeepAR,AutoDeepAR-median,AutoDeepAR-lo-98,AutoDeepAR-lo-90,AutoDeepAR-lo-80,AutoDeepAR-hi-80,AutoDeepAR-hi-90,AutoDeepAR-hi-98,y_true
q1,2021-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7878.501,7891.262,5784.64,6361.836,6726.661,8998.66,9270.117,9787.393,7864.9854,8785.725,18185312.0,17760536.0,-15097110.0,-5655286.5,-382454.5,36760548.0,41517090.0,49814304.0,18932350.0,14249483.0,7281.075,7312.517,4526.954,5314.463,5826.1973,8742.439,9165.629,10150.873,7341.371,8999.603,7052.0933,6997.616,5202.12,5830.5713,6058.9565,8127.827,8514.723,9011.961,7033.575,8704.89,6981.8926,6840.104,654.3374,1906.4766,2964.1733,11135.324,11988.14,13811.326,7145.835
q1,2021-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,6310.369,6309.8677,4132.6997,4861.241,5191.6797,7421.246,7814.5684,8245.007,6299.3022,8809.3545,-10084690.0,-10174710.0,-32460354.0,-25607982.0,-22512950.0,2767994.2,6170821.0,11641682.0,-9971730.0,10171208.0,4978.721,4984.8506,3215.0752,3705.708,4041.9934,5954.507,6175.07,6640.1016,4989.2515,8670.746,5802.6,5819.5415,3574.142,4372.8525,4662.6875,6905.8193,7238.925,7754.5654,5791.4966,8800.443,5986.329,6218.6704,-2283.2852,33.269043,1704.54,9919.054,11927.428,13709.463,5465.9154
q1,2021-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,8752.859,8745.407,6441.8076,7126.8145,7496.627,10020.221,10347.955,11079.47,8766.418,8899.337,-795743.25,-713314.6,-6950978.0,-4890632.5,-4012859.5,2503477.2,3438352.8,4849612.0,-818979.8,2577062.5,7991.9097,7993.7544,5124.352,5835.261,6359.913,9551.029,9926.844,10906.426,8050.2617,9152.52,8280.872,8264.255,6208.7734,6673.1367,7082.5654,9531.889,9923.9,10444.254,8268.049,8888.723,9492.101,9102.719,3059.3203,4738.9434,5159.838,13729.057,15732.297,18460.742,9303.35
q1,2021-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,15430.539,15424.753,12019.727,13132.75,13562.726,17246.969,17726.234,18729.125,15460.781,9292.141,-7718717.5,-7409241.5,-38873788.0,-28333038.0,-23847324.0,8256466.0,13625453.0,21358962.0,-7602106.5,13043805.0,13967.629,13995.084,8990.843,10450.762,11322.197,16538.113,17225.281,18776.473,14003.697,9988.816,15718.186,15788.026,11238.987,12471.285,13257.686,18000.46,18668.01,20256.914,15695.516,9804.137,17343.922,17113.805,11513.492,12038.34,13785.015,20848.69,21501.48,24390.4,16747.1845
q1,2022-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7653.8315,7662.0186,5656.0273,6173.112,6507.985,8771.33,9147.259,9705.827,7664.1216,8815.121,-1140706.5,-1285987.9,-13358604.0,-10280113.0,-8627696.0,6541923.0,8742515.0,13326635.0,-1319990.8,5949528.0,7574.838,7544.8545,4655.356,5550.5273,5967.699,9140.697,9670.029,10679.251,7625.7983,9175.0625,6926.787,6931.5596,4803.8623,5304.7417,5758.712,8098.105,8316.304,8956.532,6922.2607,8829.632,8371.968,8315.297,1941.8823,2504.8535,4065.1543,12898.656,13645.221,17162.525,6915.52
q1,2022-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,6540.375,6538.1494,4482.791,5083.2363,5394.8564,7724.8223,8044.5366,8591.117,6550.032,8801.969,6323194.0,6267250.5,-13453812.0,-7433381.0,-4596452.5,16678839.0,19973182.0,26523324.0,6590481.0,8785285.0,5102.873,5093.5786,3209.9854,3765.5776,4084.14,6130.668,6414.867,6894.034,5106.618,8718.896,5508.872,5517.993,3407.3218,4045.718,4357.6997,6652.993,6904.778,7413.412,5494.675,8806.389,6493.713,6885.8926,-1649.8057,479.10254,2202.849,10669.324,11352.232,13307.664,5696.01
q1,2022-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,8744.388,8764.195,6588.0596,7090.5654,7387.5186,10044.66,10412.765,11030.643,8787.472,8918.883,13078698.0,13158200.0,-14655187.0,-7405316.5,-3000527.5,28161162.0,32752488.0,41133380.0,13389387.0,12024098.0,7927.309,7892.951,4659.653,5645.948,6127.12,9825.169,10374.074,11561.746,8014.6973,9348.16,8329.914,8301.001,6019.9946,6627.784,6960.7544,9656.632,10050.133,10569.93,8351.588,8988.224,9980.525,10640.727,1730.9312,3909.8533,4648.5234,14459.969,15161.512,16100.041,9507.025
q1,2022-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,14917.937,14971.893,11095.919,12093.995,12730.654,17073.68,17591.322,18963.492,14931.654,9606.682,1374381.8,1409013.6,-10470922.0,-6784829.0,-4828827.5,7352586.0,10068714.0,13212436.0,1330848.2,4943483.5,14503.824,14521.889,8199.858,10026.209,11039.659,17926.518,18965.754,21348.105,14499.184,10637.154,15780.68,15678.031,10544.705,12132.99,12945.0625,18766.908,19464.32,21306.062,15879.189,10250.84,17134.566,17041.639,11006.606,11487.134,13301.023,21061.748,21944.428,23548.102,17469.63
q1,2023-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7222.78,7223.571,5173.8857,5805.3877,6125.244,8352.829,8653.831,9358.352,7206.6553,8820.634,-1888306.2,-1841623.6,-5234844.5,-4424200.5,-3776349.5,62307.76,626007.94,1400063.6,-1920304.9,1573531.5,8082.567,8140.311,4339.0747,5338.665,6109.711,10012.051,10599.932,11882.193,8051.9697,9458.298,7042.5903,7045.326,4880.755,5593.5996,5856.052,8208.523,8483.62,9209.303,7014.841,8837.311,8943.732,9075.783,-10.051758,1853.3096,4641.3545,13543.411,14167.167,17018.762,7672.665
q1,2023-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,6565.1025,6543.825,4446.1025,5107.6973,5358.2207,7797.7153,8148.8237,8702.204,6557.556,8824.551,45884.82,-131804.0,-10820133.0,-7775775.5,-5525126.5,5780950.0,7197661.5,10741516.0,82082.04,4496292.5,5441.083,5453.3047,2790.25,3709.9292,4032.747,6768.8447,7179.582,7947.708,5470.787,9003.399,5452.002,5453.957,3482.9004,4033.464,4314.2793,6568.4517,6831.4165,7552.0684,5492.167,8774.015,6867.163,6774.0117,-287.73535,1944.8154,3096.3584,12025.6875,12708.593,13446.525,6407.285
q1,2023-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9006.012,9008.682,6425.0225,7205.105,7552.824,10396.318,10750.697,11566.071,8973.389,9024.26,2674207.0,2733017.0,-11744012.0,-8549780.0,-6127808.5,10911037.0,13173025.0,18347938.0,2572506.2,6659681.5,8443.879,8518.225,3811.2808,5214.7656,5984.83,10840.597,11668.503,12973.988,8544.566,9930.768,8620.792,8594.037,5717.08,6584.4053,7012.5293,10182.702,10592.489,11684.104,8633.748,9121.395,9765.133,9650.089,1557.7871,3132.7993,5050.8174,14345.822,16197.082,19362.322,10330.3
q1,2023-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,15552.213,15592.175,11510.455,12788.353,13300.68,17768.66,18377.168,19662.516,15610.924,9638.306,-5077315.5,-5077148.0,-23842372.0,-18546682.0,-14949515.0,5676330.0,8295394.5,13104172.0,-4908065.5,8369466.5,15181.011,15244.582,6768.9653,9177.453,10629.781,19761.912,20980.432,22640.107,15421.2295,11389.187,16541.664,16530.898,10651.101,12375.959,13436.039,19652.535,20520.057,22039.293,16442.906,10475.598,17297.746,17382.215,10002.996,11113.718,12414.753,21198.018,22155.393,25455.424,6995.05
q10,2021-01-01,68256.0,30610.104,19938.014,-81.049286,105901.9,116573.984,136593.05,61732.133,61288.816,23655.668,35483.375,41283.805,82977.945,89075.98,101006.62,61848.3,74699.12,248081700.0,243684450.0,-123921260.0,-32291294.0,26723662.0,483415330.0,535038880.0,678158400.0,247580420.0,174819400.0,73330.58,74111.53,23771.723,35105.258,43152.523,102363.47,110334.85,123242.8,72713.68,80914.24,77168.58,77054.7,11756.484,30272.674,39181.797,113609.58,125106.28,142468.98,76283.58,87401.39,59670.49,61185.402,14065.203,25905.21,31986.334,86990.69,90942.2,108702.48,326568.18
q10,2021-04-01,15467.0,-22178.896,-32850.984,-52870.05,53112.9,63784.984,83804.05,67052.66,66459.875,32386.992,44111.26,48808.58,84501.234,89659.89,104266.6,67644.625,72638.98,-106592260.0,-105857336.0,-374912640.0,-303176220.0,-256504080.0,50637250.0,86679660.0,173995680.0,-102776260.0,118110584.0,64920.414,65729.87,13053.641,27896.918,37397.395,90691.05,98652.625,117261.81,64811.848,80736.17,77199.63,76741.77,-4204.375,20896.2,32410.453,121974.53,135910.5,157593.56,77873.53,91760.08,66792.64,67985.12,21005.7,24881.066,39410.062,96151.5,103114.125,111603.17,269902.06
q10,2021-07-01,71250.0,33604.1,22932.014,2912.9507,108895.9,119567.984,139587.05,67841.05,68139.8,41427.734,50179.023,55111.797,80886.64,84751.805,91769.11,68012.14,68684.01,271779.9,308376.5,-26747368.0,-18461612.0,-14318941.0,14399193.0,17694918.0,27342412.0,-133489.34,11353685.0,96099.32,96240.42,36995.15,51937.355,62355.195,128619.61,137553.97,157238.38,95714.42,84941.734,77124.31,77464.195,2651.461,24577.445,35698.426,116534.53,130724.8,149435.4,77963.51,90473.74,69442.73,70087.086,9841.266,28577.943,36121.91,98801.016,113501.51,127419.42,343546.41
q10,2021-10-01,79287.0,41641.1,30969.014,10949.951,116932.9,127604.984,147624.05,67465.016,67396.086,29557.604,41005.273,47443.344,86808.06,92157.47,102568.484,67708.05,74116.86,-88698140.0,-90528776.0,-473444320.0,-377173280.0,-315380220.0,134443500.0,180091980.0,272295870.0,-93423620.0,162198200.0,76301.13,75997.49,22322.727,35898.215,45661.133,107248.65,115801.37,134983.38,77925.12,82900.92,79164.42,80205.67,8962.848,27095.502,38026.992,118670.78,129980.31,148448.83,78200.664,89341.984,85184.74,87892.97,33927.836,44565.58,48309.227,117037.83,124529.08,134412.5,511731.1
q10,2022-01-01,68256.0,30610.104,19938.014,-81.049286,105901.9,116573.984,136593.05,58300.555,58718.89,23533.645,36363.35,41714.98,75151.22,79537.05,91206.21,58229.133,72274.59,-4236187.0,-3310335.2,-116803016.0,-85381970.0,-69363110.0,59721784.0,75209420.0,110038610.0,-2074334.6,50412124.0,73567.23,73917.69,7116.5938,25820.24,36977.9,109269.4,120441.39,138283.3,72879.195,87651.97,80243.55,80711.73,-5257.117,19664.793,33070.07,126677.8,137561.61,158677.95,80405.766,93180.25,65383.383,63104.277,12580.512,18426.25,25285.95,101875.41,114224.53,125325.11,348666.69
q10,2022-04-01,15467.0,-22178.896,-32850.984,-52870.05,53112.9,63784.984,83804.05,65503.48,65767.31,26144.697,37523.938,42828.746,87165.63,94245.69,104671.83,66695.69,75802.86,80544000.0,81131896.0,-133903304.0,-73363976.0,-39097684.0,197470530.0,223874900.0,292967460.0,85359350.0,92073110.0,66397.29,66444.97,8872.172,24572.0,32817.883,101176.47,110790.03,124795.47,68075.55,84415.34,75370.04,74095.11,2159.043,20079.387,32408.742,119133.34,133653.72,156947.95,76174.59,93456.18,78230.266,81035.78,5471.715,29275.137,41212.484,112712.336,124234.03,131912.17,289378.83
q10,2022-07-01,71250.0,33604.1,22932.014,2912.9507,108895.9,119567.984,139587.05,63130.414,63683.938,37760.547,43170.953,48087.402,77558.86,81696.75,88465.81,63108.24,69924.19,185758820.0,192287940.0,-141886480.0,-65349236.0,-19480902.0,369931260.0,417624200.0,531873400.0,186830340.0,150000400.0,100001.766,100596.91,27018.506,48257.11,61288.348,137681.67,148933.95,178055.61,99033.64,89423.016,83465.055,83702.19,1457.4648,23318.79,38273.28,129871.45,143854.56,163513.25,83470.69,93780.03,82734.03,81495.4,14913.4375,32317.424,42611.543,127377.75,136804.44,141111.62,361884.6
q10,2022-10-01,79287.0,41641.1,30969.014,10949.951,116932.9,127604.984,147624.05,62917.723,62749.11,25913.73,37782.145,44136.56,82771.06,87374.6,99649.86,63198.066,73950.83,19300396.0,19275050.0,-92461390.0,-55396750.0,-39706890.0,77753590.0,99699470.0,131616560.0,20905664.0,48881868.0,80375.0,79377.945,12953.484,33738.047,43564.926,116677.63,129359.59,152165.6,79442.5,86782.6,82034.664,83713.75,4917.586,26368.092,36598.633,124245.84,137065.69,162806.48,82489.65,93420.805,94956.336,92624.22,31951.635,38831.305,52913.766,134414.2,149769.14,163601.42,540909.5
q10,2023-01-01,68256.0,30610.104,19938.014,-81.049286,105901.9,116573.984,136593.05,55920.848,56173.715,26676.338,32860.5,39262.723,72872.77,76849.3,84912.47,56934.535,71758.29,2319750.8,2813458.5,-26168816.0,-16985256.0,-12797528.0,16843216.0,20825858.0,27753292.0,2153207.8,11623408.0,74098.34,73204.2,6147.492,27054.076,36471.58,111757.44,126310.875,145184.58,76240.65,90042.79,82943.39,84050.12,-2335.5234,22919.746,33994.89,131251.2,144349.98,166635.31,82498.41,96138.3,75032.51,75662.78,-6394.8945,16835.254,31311.809,121288.77,128872.22,149783.75,386096.5
q10,2023-04-01,15467.0,-22178.896,-32850.984,-52870.05,53112.9,63784.984,83804.05,60986.656,61450.492,20147.504,29908.514,36368.78,84144.7,91728.375,101241.375,60171.297,77093.71,4832852.5,3880208.2,-78197510.0,-54074196.0,-39557544.0,50678692.0,65373216.0,83781040.0,4228917.0,36133664.0,69721.43,69014.02,3655.0742,18370.066,30980.36,109011.58,120760.92,137222.08,68485.81,89534.586,83856.484,83298.32,-8392.895,20502.469,33736.336,133975.88,149611.42,170365.89,82117.08,98050.266,82790.66,82471.7,27910.703,35901.816,42902.246,114148.36,125267.266,137744.58,304618.082
q10,2023-07-01,71250.0,33604.1,22932.014,2912.9507,108895.9,119567.984,139587.05,61501.473,61205.12,26328.592,35762.023,43897.812,80430.055,85968.414,96034.92,60758.656,73146.234,12862949.0,10749915.0,-147353170.0,-92155736.0,-66732104.0,92425460.0,114098890.0,156028140.0,9984989.0,65183190.0,100896.69,100542.49,21582.715,42403.656,58084.5,145241.11,159699.39,192583.53,100136.94,94563.484,86659.484,86699.414,-3099.9414,21906.723,36636.312,135365.62,150122.14,180976.52,85232.99,97893.02,84152.69,83417.32,28060.748,35111.164,42561.47,122439.59,135675.02,162035.39,417078.1932
q10,2023-10-01,79287.0,41641.1,30969.014,10949.951,116932.9,127604.984,147624.05,60261.7,60055.586,18924.21,34368.348,40800.766,81401.05,86271.94,99396.33,59888.465,74936.61,-64030860.0,-67893280.0,-287453380.0,-224146980.0,-189842300.0,61773616.0,97769600.0,153325390.0,-63614788.0,97506136.0,82576.31,82902.3,13308.922,35081.477,45265.523,119479.36,129202.625,147862.6,81668.195,87935.31,83922.07,84413.75,281.26953,24017.746,35890.33,130927.84,143442.1,165949.86,84914.08,96487.24,96330.92,94395.234,31583.697,46014.934,56444.285,132160.16,145565.9,160736.14,199405.116
q100,2021-01-01,25827.0,19602.725,17838.229,14528.328,32051.275,33815.77,37125.67,27083.031,27174.742,21841.719,23193.096,24143.008,29795.645,30612.377,31987.258,27177.143,19816.336,19359068.0,19431070.0,-11115446.0,-3366771.5,1132392.2,37870304.0,41805110.0,53325236.0,19606548.0,13822418.0,24278.027,24278.59,18195.389,20192.004,20937.137,27539.049,28804.031,30722.371,24317.447,20316.99,26603.395,26469.365,16893.83,19299.314,20902.621,32534.771,34229.5,37504.836,26637.082,22025.129,27185.59,26493.844,13781.997,17794.15,20311.025,34833.297,36984.734,40743.13,219281.0
q100,2021-04-01,35688.0,29463.725,27699.229,24389.328,41912.277,43676.77,46986.67,30058.938,30096.266,24038.916,25276.418,26483.367,33377.984,34719.95,36376.32,30035.43,20356.002,-7418450.0,-7394418.0,-28820540.0,-22236424.0,-19375888.0,4494915.0,7060544.0,13202073.0,-7819529.0,9241147.0,31961.047,32167.266,23767.29,26404.67,27542.832,36230.395,37412.273,39033.117,31990.66,20980.625,29713.363,29593.916,18386.475,21748.531,23217.617,36540.39,38213.934,41302.31,29653.938,22655.04,31804.902,32148.533,21321.688,22998.127,25284.863,38464.39,40194.508,44134.35,263012.0
q100,2021-07-01,27521.0,21296.725,19532.229,16222.328,33745.277,35509.77,38819.67,25954.445,25947.133,19997.365,21854.69,22849.666,29093.84,30035.41,31643.695,26010.25,20025.002,-5304.123,-19604.713,-993341.4,-642754.94,-518576.53,540941.25,686379.5,944129.06,-14866.725,437434.56,28159.484,28107.34,20611.59,23306.701,24140.047,32174.281,33443.797,34898.39,28059.914,20680.09,26097.14,26143.059,14701.717,18298.434,19618.03,32293.656,34294.9,37481.22,26206.664,22452.746,28253.941,28396.025,13656.466,16889.576,21122.35,36174.28,37470.36,40819.17,263708.0
