unique_id,ds,SeasonalNaive,SeasonalNaive-lo-80,SeasonalNaive-lo-90,SeasonalNaive-lo-98,SeasonalNaive-hi-80,SeasonalNaive-hi-90,SeasonalNaive-hi-98,AutoMLP-median,AutoMLP-lo-98,AutoMLP-lo-90,AutoMLP-lo-80,AutoMLP-hi-80,AutoMLP-hi-90,AutoMLP-hi-98,AutoNHITS-median,AutoNHITS-lo-98,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90,AutoNHITS-hi-98,AutoLSTM-median,AutoLSTM-lo-98,AutoLSTM-lo-90,AutoLSTM-lo-80,AutoLSTM-hi-80,AutoLSTM-hi-90,AutoLSTM-hi-98,AutoGRU-median,AutoGRU-lo-98,AutoGRU-lo-90,AutoGRU-lo-80,AutoGRU-hi-80,AutoGRU-hi-90,AutoGRU-hi-98,y_true
q1,2021-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,6749.574,6066.767,6349.341,6723.1113,7789.3936,8260.49,9807.535,7569.0444,4654.465,6073.9165,6208.134,9265.393,9812.678,10486.078,7261.2334,3821.1694,5102.151,5689.4106,8935.429,9691.335,12119.662,7223.3784,3696.9922,5299.7715,5958.499,8791.662,9667.641,11856.61,7145.835
q1,2021-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5366.8135,4588.3267,5047.1465,4971.841,6525.461,6960.0786,8818.645,6804.0186,3359.9355,5187.76,5443.629,7953.9556,8604.231,10223.878,5952.48,3634.4785,4419.201,4781.9834,7459.822,8019.8115,10992.257,5413.6377,2430.2861,3906.7126,4454.7886,6983.1885,7854.7905,11445.667,5465.9154
q1,2021-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9052.595,7007.0796,7705.8926,7908.795,10006.694,10204.125,11770.806,9332.583,5871.1406,7033.288,7585.418,10582.368,11187.268,12945.533,9393.207,4650.3047,6797.548,7559.362,11270.032,12151.31,14490.907,9533.185,4456.196,6830.951,7641.49,11412.773,12413.141,15463.646,9303.35
q1,2021-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,17041.316,10987.707,12990.746,14608.172,18605.07,18801.938,21339.547,15757.748,10001.723,12245.449,13030.489,17868.188,18366.68,19059.43,16493.52,8724.039,12277.205,13357.433,18688.309,19275.54,22894.07,16226.415,6567.025,10863.048,12530.678,19247.217,20566.764,25734.426,16747.1845
q1,2022-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7241.5195,5430.5684,6138.4727,6160.5576,8273.969,9176.2295,9915.772,7306.007,3743.0806,5553.545,6026.555,8578.341,8799.493,10157.553,7311.8506,3594.92,5273.718,5862.3735,8807.599,9534.038,12070.545,7474.934,3667.1401,5358.8774,6021.007,8982.644,9824.545,12500.307,6915.52
q1,2022-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,5630.005,3863.5132,5171.6562,5317.887,6649.8086,7453.73,8433.882,6139.8477,3355.483,4747.538,5034.8936,7524.4707,7741.598,8827.748,6030.005,3456.3804,4669.5815,5037.323,7292.099,7834.0234,10799.069,5432.201,1895.0679,3630.4111,4210.627,7105.1787,8226.878,12893.685,5696.01
q1,2022-07-01,8526.838,7182.6255,6801.5596,6086.744,9871.051,10252.116,10966.932,9383.105,5714.576,7631.9463,7997.665,10421.482,11041.236,12596.18,8515.425,5371.2905,6542.2993,6783.4663,10280.384,10407.965,12291.701,9404.179,4351.8643,6476.7114,7163.225,12067.439,13195.211,15896.258,9551.592,4075.4534,6592.1025,7449.7397,11766.917,12857.192,16412.488,9507.025
q1,2022-10-01,16595.385,15251.172,14870.106,14155.291,17939.598,18320.662,19035.479,16836.629,9031.958,12921.254,13940.809,19721.121,20228.56,21686.127,14670.342,9006.979,10843.608,11675.53,17384.18,17939.871,19626.396,16857.059,7518.4653,11648.553,13032.369,19289.016,20207.938,23985.434,16288.71,6127.092,10736.796,12350.984,19882.562,21332.559,27900.494,17469.63
q1,2023-01-01,6670.973,5326.7607,4945.695,4230.8794,8015.1855,8396.251,9111.067,7737.0293,4767.0137,5814.9287,6530.382,8707.998,9234.504,10736.0,6918.6685,3517.7017,4707.285,5602.927,8253.871,8855.008,10008.271,7187.1562,3088.0396,5061.934,5644.3906,8650.69,9358.075,12224.001,7169.1704,2738.7065,4501.299,5365.7075,9258.971,10392.146,14276.484,7672.665
q1,2023-04-01,5117.579,3773.3665,3392.301,2677.4854,6461.7915,6842.8574,7557.673,6033.9766,3564.7783,4680.1416,5184.0537,7155.5625,7990.8066,9033.991,5608.069,2409.4272,3619.4497,4207.5386,7230.2744,7735.8564,8456.021,5844.153,3168.02,4254.2803,4631.1978,7234.6997,7738.65,11348.122,5050.794,1108.5044,2992.3525,3655.122,7276.4136,8700.986,14739.955,6407.285
