loss,train_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/h,config/encoder_hidden_size,config/encoder_n_layers,config/context_size,config/decoder_hidden_size,config/learning_rate,config/max_steps,config/batch_size,config/loss,config/random_seed,config/input_size,config/inference_input_size,config/val_check_steps,config/enable_checkpointing,config/valid_loss,logdir
0.1601201295852661,0.26148051023483276,1726047740,,False,30,26bbd1bb,2024-09-11_10-42-20,0.33919858932495117,10.503340482711792,661105,toni-pc,192.168.3.21,10.503340482711792,30,12,300,3,50,128,0.00012669599267779168,1500,16,MQLoss(),92,-12,-12,50,True,MQLoss(),26bbd1bb
0.16193930804729462,0.29583096504211426,1726047749,,False,30,68ab3c8d,2024-09-11_10-42-29,0.20508766174316406,6.641724586486816,661179,toni-pc,192.168.3.21,6.641724586486816,30,12,100,2,50,512,0.00011718063828803716,1500,32,MQLoss(),32,-12,-12,50,True,MQLoss(),68ab3c8d
0.14234590530395508,0.18948908150196075,1726047759,,False,30,3e77f555,2024-09-11_10-42-39,0.2389991283416748,7.434630870819092,661252,toni-pc,192.168.3.21,7.434630870819092,30,12,100,3,5,512,0.0002969852993024367,1500,16,MQLoss(),80,192,-12,50,True,MQLoss(),3e77f555
0.1346365213394165,0.20026031136512756,1726047771,,False,30,0a2d7e71,2024-09-11_10-42-51,0.3149547576904297,9.694000244140625,661325,toni-pc,192.168.3.21,9.694000244140625,30,12,200,3,50,256,0.0002557839380825426,1500,16,MQLoss(),2,768,-12,50,True,MQLoss(),0a2d7e71
0.15021175146102905,0.2564622163772583,1726047781,,False,30,34f61c82,2024-09-11_10-43-01,0.23908138275146484,7.541746139526367,661398,toni-pc,192.168.3.21,7.541746139526367,30,12,100,3,50,512,0.00860413434982971,1500,16,MQLoss(),72,-12,-12,50,True,MQLoss(),34f61c82
0.12227653712034225,0.2853950560092926,1726047793,,False,30,aced5a48,2024-09-11_10-43-13,0.29062771797180176,9.098232984542847,661473,toni-pc,192.168.3.21,9.098232984542847,30,12,300,2,10,512,0.0037248319647061054,1500,16,MQLoss(),57,-12,-12,50,True,MQLoss(),aced5a48
0.22276702523231506,0.32417795062065125,1726047805,,False,30,ba9d1b7e,2024-09-11_10-43-25,0.28620481491088867,8.81093454360962,661546,toni-pc,192.168.3.21,8.81093454360962,30,12,300,3,10,64,0.00014638820522951056,1500,32,MQLoss(),42,-12,-12,50,True,MQLoss(),ba9d1b7e
0.11837279051542282,0.3041823208332062,1726047814,,False,30,d2dc24ab,2024-09-11_10-43-34,0.18495631217956543,5.88858437538147,661619,toni-pc,192.168.3.21,5.88858437538147,30,12,50,1,10,128,0.05333731105866368,1500,16,MQLoss(),40,48,-12,50,True,MQLoss(),d2dc24ab
0.12002880126237869,0.14719830453395844,1726047823,,False,30,1af05d24,2024-09-11_10-43-43,0.1931166648864746,6.008937120437622,661692,toni-pc,192.168.3.21,6.008937120437622,30,12,50,1,10,512,0.001594899828157389,1500,32,MQLoss(),3,-12,-12,50,True,MQLoss(),1af05d24
0.13274608552455902,0.19840021431446075,1726047832,,False,30,f37699b8,2024-09-11_10-43-52,0.19678282737731934,6.182118892669678,661765,toni-pc,192.168.3.21,6.182118892669678,30,12,50,3,5,128,0.08971961884223785,1500,32,MQLoss(),21,-12,-12,50,True,MQLoss(),f37699b8
0.1241290271282196,0.13285338878631592,1726047841,,False,30,e3881977,2024-09-11_10-44-01,0.18433737754821777,5.854490518569946,661839,toni-pc,192.168.3.21,5.854490518569946,30,12,50,1,10,128,0.0394486206134258,1500,16,MQLoss(),61,48,-12,50,True,MQLoss(),e3881977
0.12407878041267395,0.13873103260993958,1726047849,,False,30,faf9a89e,2024-09-11_10-44-09,0.1748957633972168,5.8150246143341064,661912,toni-pc,192.168.3.21,5.8150246143341064,30,12,50,1,10,128,0.02273656919831312,1500,16,MQLoss(),21,48,-12,50,True,MQLoss(),faf9a89e
0.12547770142555237,0.16208897531032562,1726047860,,False,30,dac84694,2024-09-11_10-44-20,0.2596001625061035,8.138704061508179,661985,toni-pc,192.168.3.21,8.138704061508179,30,12,200,2,10,256,0.0012335173051451094,1500,16,MQLoss(),96,48,-12,50,True,MQLoss(),dac84694
0.1384965032339096,0.24720844626426697,1726047869,,False,30,4a533f20,2024-09-11_10-44-29,0.18419718742370605,5.8206117153167725,662058,toni-pc,192.168.3.21,5.8206117153167725,30,12,50,1,5,64,0.08410779432086386,1500,16,MQLoss(),39,48,-12,50,True,MQLoss(),4a533f20
0.12595802545547485,0.26449257135391235,1726047876,,False,30,31351d4c,2024-09-11_10-44-36,0.17728877067565918,5.5616865158081055,662131,toni-pc,192.168.3.21,5.5616865158081055,30,12,50,1,10,128,0.013728071539622348,1500,32,MQLoss(),16,192,-12,50,True,MQLoss(),31351d4c
0.14238880574703217,0.23356665670871735,1726047887,,False,30,6c368aae,2024-09-11_10-44-47,0.26508569717407227,8.281524896621704,662203,toni-pc,192.168.3.21,8.281524896621704,30,12,200,2,10,128,0.04691542572592936,1500,16,MQLoss(),73,768,-12,50,True,MQLoss(),6c368aae
0.11798936873674393,0.1766989678144455,1726047896,,False,30,4ad6c277,2024-09-11_10-44-56,0.18714356422424316,5.895421504974365,662277,toni-pc,192.168.3.21,5.895421504974365,30,12,50,1,5,256,0.006248031088690949,1500,16,MQLoss(),49,48,-12,50,True,MQLoss(),4ad6c277
0.1138196736574173,0.2330876588821411,1726047905,,False,30,cc87ff3b,2024-09-11_10-45-05,0.18617796897888184,5.9140002727508545,662350,toni-pc,192.168.3.21,5.9140002727508545,30,12,50,1,10,512,0.0012949331503066277,1500,32,MQLoss(),10,48,-12,50,True,MQLoss(),cc87ff3b
0.11640414595603943,0.16975446045398712,1726047914,,False,30,d9681fdf,2024-09-11_10-45-14,0.18598723411560059,5.922211408615112,662426,toni-pc,192.168.3.21,5.922211408615112,30,12,50,1,5,256,0.005503751412252469,1500,16,MQLoss(),49,48,-12,50,True,MQLoss(),d9681fdf
